Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10,notes_durations
vivaldi,1678.0,"Sonata in D major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","6
",Sonata,vivaldi-op01n06m03.krn,,,,NaN
vivaldi,1678.0,"Sonata in F major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Presto
","1
","5
",Sonata,vivaldi-op01n05m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","1
",Sonata,vivaldi-op01n01m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in A major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","9
",Sonata,vivaldi-op01n09m03.krn,0.21,0.9371820170139148,0.9740199858176004,5
vivaldi,1678.0,"Sonata in C major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","3
",Sonata,vivaldi-op01n03m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in F major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Presto
","1
","5
",Sonata,vivaldi-op01n05m02.krn,,,,NaN
vivaldi,1678.0,"Sonata in A major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","9
",Sonata,vivaldi-op01n09m04.krn,0.22,0.9538156133709372,0.9480481910611772,5
vivaldi,1678.0,"Sonata in E minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","2
",Sonata,vivaldi-op01n02m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","8
",Sonata,vivaldi-op01n08m02.krn,0.53,0.9901062644742008,0.9707961100882384,8
vivaldi,1678.0,"Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","8
",Sonata,vivaldi-op01n08m01.krn,1.36,0.5249070639064644,0.5221775568795041,2
vivaldi,1678.0,"Sonata in E-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Presto
","1
","7
",Sonata,vivaldi-op01n07m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in D major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","6
",Sonata,vivaldi-op01n06m02.krn,0.19,0.9725946711356402,0.9922901933448524,5
vivaldi,1678.0,"Sonata in B-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","10
",Sonata,vivaldi-op01n10m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in A major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","9
",Sonata,vivaldi-op01n09m02.krn,,,,NaN
vivaldi,1678.0,"Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","1
",Sonata,vivaldi-op01n01m05.krn,,,,NaN
vivaldi,1678.0,"Sonata in E minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","2
",Sonata,vivaldi-op01n02m03.krn,0.48,0.9912177578804464,0.9835318645132474,4
vivaldi,1678.0,"Sonata in B-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","10
",Sonata,vivaldi-op01n10m02.krn,0.78,0.933706283718398,0.939211000805596,3
vivaldi,1678.0,"Sonata in F major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","5
",Sonata,vivaldi-op01n05m03.krn,0.4,0.972128099375514,0.7516622637394822,5
vivaldi,1678.0,"Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","4
",Sonata,vivaldi-op01n04m04.krn,,,,NaN
vivaldi,1678.0,"Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","8
",Sonata,vivaldi-op01n08m04.krn,0.35,0.9570346978714304,0.7303437777431648,4
vivaldi,1678.0,"Sonata in B minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Andante
","1
","11
",Sonata,vivaldi-op01n11m01.krn,0.44,0.9910087082570456,0.9845998624084924,3
vivaldi,1678.0,"Sonata in C major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","3
",Sonata,vivaldi-op01n03m03.krn,,,,NaN
vivaldi,1678.0,"Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Grave
","1
","8
",Sonata,vivaldi-op01n08m03.krn,,,,NaN
webern,1883.0,"I
 (Variations for Piano
)","Sehr m&auml;&szlig;ig [eighth-dot] = ca 40
","27
",,,webern-op27n1.krn,,,,NaN
webern,1883.0,"III
 (Variations for Piano
)","Ruhig flie&szlig;end [half] = ca 80
","27
",,,webern-op27n3-rows.krn,-0.22,0.986947176420621,0.827032526809839,9
webern,1883.0,"III
 (Variations for Piano
)","Ruhig flie&szlig;end [half] = ca 80
","27
",,,webern-op27n3.krn,-0.22,0.986947176420621,0.827032526809839,9
webern,1883.0,"II
 (Variations for Piano
)","Sehr schnell [quarter] = ca 160
","27
",,,webern-op27n2.krn,,,,NaN
liszt,1811.0,"Ballade No. 2 in B Minor, S. 171
",,,,Ballad,ballade2.krn,0.93,0.9417130695657774,0.9461594599040284,45
bach,1685.0,"Contrapunctus 7, a 4. per Augment et Diminut
 (The Art of the Fugue
)",,,,Fugue,artfugue-007.krn,0.53,0.9003234464850053,0.9051249830099488,5
