Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,J,J_interp10
bach,"1685/3//-1750/7/28/
","Prelude in G Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p16.krn,NaN,NaN
bach,,"Fuga 23, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f23.krn,0.9272113683350911,0.7182506060172106
bach,,"Fuga 24, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f24.krn,0.881309088753166,0.8800448850610562
bach,,"Fuga 9, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f09.krn,0.9555472276699768,0.9695720970516569
bach,,"Fuga 4, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f04.krn,0.9581760839152038,0.9071741932144716
bach,"1685/3//-1750/7/28/
","Prelude in A Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p20.krn,0.9682899574692765,0.7961333822750458
bach,"1685/3//-1750/7/28/
","Prelude in E-flat Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p08.krn,0.9269703850501484,0.9341902548840996
bach,,"Fuga 14, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f14.krn,0.8577763389450189,0.5218251839496162
bach,,"Fuga 8, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f08.krn,0.985443302742195,0.9814834819370515
bach,"1685/3//-1750/7/28/
","Prelude in A Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p19.krn,0.9701584957074706,0.9971818722476478
bach,,"Fuga 12, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f12.krn,0.9823915569009503,0.7774445330136579
bach,,"Fuga 21, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f21.krn,0.9487568940497667,0.621978480550005
bach,,"Fuga 3, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f03.krn,0.8896788138698416,0.5962035790171222
bach,,"Fuga 23, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f23.krn,0.9515354686673253,0.9396455778821861
bach,,"Fuga 22, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f22.krn,0.9596146467422682,0.9497232797468831
bach,,"Fuga 13, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f13.krn,0.9565439375522876,0.64454799158071
bach,,"Fuga 4, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f04.krn,0.9317498419873298,0.9348960582270378
bach,"1685/3//-1750/7/28/
","Prelude in C Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p01.krn,NaN,NaN
