Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10
vivaldi,"1678/03/04-1741/08/28
","Sonata in A major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","9
",Sonata,vivaldi-op01n09m04.krn,0.22,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in E minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","2
",Sonata,vivaldi-op01n02m04.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","8
",Sonata,vivaldi-op01n08m02.krn,0.53,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","8
",Sonata,vivaldi-op01n08m01.krn,1.36,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in E-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Presto
","1
","7
",Sonata,vivaldi-op01n07m04.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in D major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","6
",Sonata,vivaldi-op01n06m02.krn,0.19,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in B-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","10
",Sonata,vivaldi-op01n10m01.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in A major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","9
",Sonata,vivaldi-op01n09m02.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","1
",Sonata,vivaldi-op01n01m05.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in E minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","2
",Sonata,vivaldi-op01n02m03.krn,0.48,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in B-flat major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","10
",Sonata,vivaldi-op01n10m02.krn,0.78,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in F major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","5
",Sonata,vivaldi-op01n05m03.krn,0.4,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","4
",Sonata,vivaldi-op01n04m04.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","8
",Sonata,vivaldi-op01n08m04.krn,0.35,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in B minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Andante
","1
","11
",Sonata,vivaldi-op01n11m01.krn,0.44,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in C major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","3
",Sonata,vivaldi-op01n03m03.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in D minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Grave
","1
","8
",Sonata,vivaldi-op01n08m03.krn,NaN,NaN,NaN
webern,"1883-1945
","I
 (Variations for Piano
)","Sehr m&auml;&szlig;ig [eighth-dot] = ca 40
","27
",,,webern-op27n1.krn,NaN,NaN,NaN
webern,"1883-1945
","III
 (Variations for Piano
)","Ruhig flie&szlig;end [half] = ca 80
","27
",,,webern-op27n3-rows.krn,-0.22,NaN,NaN
webern,"1883-1945
","III
 (Variations for Piano
)","Ruhig flie&szlig;end [half] = ca 80
","27
",,,webern-op27n3.krn,-0.22,NaN,NaN
webern,"1883-1945
","II
 (Variations for Piano
)","Sehr schnell [quarter] = ca 160
","27
",,,webern-op27n2.krn,NaN,NaN,NaN
liszt,"1811/10/22-1886/07/31/
","Ballade No. 2 in B Minor, S. 171
",,,,Ballad,ballade2.krn,0.93,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 7, a 4. per Augment et Diminut
 (The Art of the Fugue
)",,,,Fugue,artfugue-007.krn,0.53,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 18 (XII), a 4. (rectus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-018a.krn,0.2,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 16 (XIII), a 3. (rectus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-016a.krn,0.57,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus XII (The Art of the Fugue
)",,,,Fugue,artfugue-012.krn,1.0,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 1, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-001.krn,0.57,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 11, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-011.krn,0.21,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 5, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-005.krn,0.61,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus XIX (The Art of the Fugue
)",,,,Fugue,artfugue-019.krn,0.13,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 9, a 4, alla Duodecima
 (The Art of the Fugue
)",,,,Fugue,artfugue-009.krn,0.03,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 6, a 4, in Stile francese
 (The Art of the Fugue
)",,,,Fugue,artfugue-006.krn,0.16,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 4, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-004.krn,0.13,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 18 (XII), a 4. (inversus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-018b.krn,0.2,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrpunctus XV (The Art of the Fugue
)",,,,Fugue,artfugue-015.krn,0.59,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus XIII (The Art of the Fugue
)",,,,Fugue,artfugue-013.krn,0.96,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 16 (XIII), a 3. (inversus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-016b.krn,0.58,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 10, a 4, alla Decima
 (The Art of the Fugue
)",,,,Fugue,artfugue-010.krn,0.14,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 8, a 3.
 (The Art of the Fugue
)",,,,Fugue,artfugue-008.krn,1.0,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 3, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-003.krn,0.17,NaN,NaN
bach,"1685/03/31-1750/07/28
","14 (XVII). Canon alla Decima. Contrapunto all a Terza
 (The Art of the Fugue
)",,,,Fugue,artfugue-014.krn,0.78,NaN,NaN
bach,"1685/03/31-1750/07/28
","Contrapunctus 2, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-002.krn,0.3,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in F Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p11.krn,0.51,NaN,NaN
bach,,"Fuga 18, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f18.krn,0.31,NaN,NaN
bach,,"Fuga 17, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f17.krn,0.52,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in B-flat Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p22.krn,NaN,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in G Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p15.krn,1.23,NaN,NaN
bach,,"Fuga 6, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f06.krn,1.04,NaN,NaN
bach,,"Fuga 7, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f07.krn,0.06,NaN,NaN
bach,,"Fuga 20, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f20.krn,0.56,NaN,NaN
bach,,"Fuga 2, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f02.krn,0.81,NaN,NaN
bach,,"Prelude No. 11 in F major
",,,,Prelude,wtc2p11.krn,0.71,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in B Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p23.krn,NaN,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in B-flat Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p22.krn,0.69,NaN,NaN
bach,,"Fuga 7, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f07.krn,0.69,NaN,NaN
bach,,"Fuga 10, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f10.krn,1.05,NaN,NaN
bach,,"Fuga 2, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f02.krn,0.42,NaN,NaN
bach,,"Fuga 15, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f15.krn,1.32,NaN,NaN
bach,,"Fuga 9, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f09.krn,5.22,NaN,NaN
bach,,"Fuga 5, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f05.krn,0.82,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in A-flat Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p17.krn,1.0,NaN,NaN
bach,,"Fuga 16, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f16.krn,0.29,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in B-flat Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p21.krn,1.68,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in D Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p06.krn,1.46,NaN,NaN
bach,,"Fuga 17, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f17.krn,1.18,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in A Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p20.krn,1.17,NaN,NaN
bach,,"Fuga 6, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f06.krn,1.41,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in D Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p06.krn,0.71,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in C Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p02.krn,1.49,NaN,NaN
bach,,"Fuga 1, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f01.krn,0.57,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in A Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p19.krn,0.62,NaN,NaN
bach,,"Fuga 1, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f01.krn,0.11,NaN,NaN
bach,,"Fuga 11, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f11.krn,0.88,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in C-sharp Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p03.krn,6.16,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in E Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p10.krn,0.48,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in D-sharp Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p08.krn,0.32,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in B Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p24.krn,0.84,NaN,NaN
bach,,"Prelude No. 17 in F-sharp minor
",,,,Prelude,wtc2p17.krn,0.26,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in G Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p16.krn,NaN,NaN,NaN
bach,,"Fuga 23, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f23.krn,0.33,NaN,NaN
bach,,"Fuga 24, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f24.krn,0.25,NaN,NaN
bach,,"Fuga 9, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f09.krn,0.01,NaN,NaN
bach,,"Fuga 4, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f04.krn,0.25,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in A Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p20.krn,0.32,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in E-flat Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p08.krn,0.78,NaN,NaN
bach,,"Fuga 14, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f14.krn,0.29,NaN,NaN
bach,,"Fuga 8, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f08.krn,0.08,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in A Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p19.krn,0.76,NaN,NaN
bach,,"Fuga 12, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f12.krn,0.34,NaN,NaN
