composer_i,composer_j,wasserstein_w1,compression_logiqr_distance,iqr_i,iqr_j,mad_i,mad_j
Handel,Bach,6.723097139861103,0.3871903038169129,27.629519904973883,40.693772330201845,13.983845646094954,20.358758106152486
Schumann,Alkan,6.823436557988808,0.33936034393477765,28.66183929155783,20.413700175309668,14.747400715434559,10.240108674727846
Liszt,Tchaikovsky,6.838053326552176,0.08409491697912408,30.402888789750357,27.95071310571697,14.811623859345628,14.221759490763151
Bach,Tchaikovsky,7.173022566684192,0.37563235384375826,40.693772330201845,27.95071310571697,20.358758106152486,14.221759490763151
Liszt,Brahms,7.174645760313279,0.14162543081736212,30.402888789750357,26.388074881284695,14.811623859345628,14.022741564857895
Schumann,Liszt,7.23469146689581,0.058971033277182006,28.66183929155783,30.402888789750357,14.747400715434559,14.811623859345628
Handel,Alkan,7.316772091860827,0.30267851025968096,27.629519904973883,20.413700175309668,13.983845646094954,10.240108674727846
Saint,Dvorak,7.354471272532932,0.5912093473271778,29.034186969545015,16.074990021340213,14.075657766660775,7.685358524260234
Handel,Brahms,7.370655891261947,0.045972563865083416,27.629519904973883,26.388074881284695,13.983845646094954,14.022741564857895
Bach,Saint,7.416781770660703,0.3376010700465306,40.693772330201845,29.034186969545015,20.358758106152486,14.075657766660775
Schumann,Debussy,7.440216540286055,0.010513824852461884,28.66183929155783,28.964774563467376,14.747400715434559,14.652153298711209
Scarlatti,Liszt,7.483977257561047,0.6854321153053315,15.319178108005222,30.402888789750357,7.476777001127161,14.811623859345628
Scarlatti,Brahms,7.523479323852034,0.5438066844879694,15.319178108005222,26.388074881284695,7.476777001127161,14.022741564857895
Buxtehude,Debussy,7.619027659739826,0.4004575764446301,19.406786898275165,28.964774563467376,9.065849381242044,14.652153298711209
Mozart,Schubert,7.630845967989395,0.2276109501282244,34.25633187330444,27.282909205139944,17.015843362445494,13.566313529260334
Handel,Dvorak,7.630975102358173,0.5416201135567955,27.629519904973883,16.074990021340213,13.983845646094954,7.685358524260234
Scarlatti,Debussy,7.721570067596261,0.6369749068806114,15.319178108005222,28.964774563467376,7.476777001127161,14.652153298711209
Mozart,Alkan,7.741842586857677,0.5176651671705765,34.25633187330444,20.413700175309668,17.015843362445494,10.240108674727846
Faure,Debussy,7.751767027224778,0.7240529011237768,14.04164448538927,28.964774563467376,7.489170674179402,14.652153298711209
Mozart,Tchaikovsky,7.867871595984869,0.20342870693774096,34.25633187330444,27.95071310571697,17.015843362445494,14.221759490763151
Bach,Debussy,7.9220821723797235,0.3399946452893543,40.693772330201845,28.964774563467376,20.358758106152486,14.652153298711209
Liszt,Alkan,7.947459094600191,0.39833137721195966,30.402888789750357,20.413700175309668,14.811623859345628,10.240108674727846
Liszt,Dvorak,7.957741290926627,0.6372729805090742,30.402888789750357,16.074990021340213,14.811623859345628,7.685358524260234
Byrd,Brahms,8.053860915131127,0.8927253868908931,10.806921539809618,26.388074881284695,6.2146208084341445,14.022741564857895
Bach,Liszt,8.165810171415874,0.2915374368646342,40.693772330201845,30.402888789750357,20.358758106152486,14.811623859345628
Tchaikovsky,Debussy,8.287836967223477,0.03563770855440396,27.95071310571697,28.964774563467376,14.221759490763151,14.652153298711209
Buxtehude,Liszt,8.300218175099138,0.4489147848693502,19.406786898275165,30.402888789750357,9.065849381242044,14.811623859345628
Haydn,Beethoven,8.4104700507993,0.14812766607980477,26.81242048730374,31.09331664620144,13.691335693880262,15.263398019778723
Chopin,Brahms,8.563678745360345,0.2585166824946006,20.376769797142565,26.388074881284695,7.916688737425265,14.022741564857895
Scarlatti,Saint,8.571572741402985,0.6393684821234351,15.319178108005222,29.034186969545015,7.476777001127161,14.075657766660775
Liszt,Faure,8.611625881110713,0.772510109548497,30.402888789750357,14.04164448538927,14.811623859345628,7.489170674179402
Chopin,Faure,8.69517081794487,0.37236799623653427,20.376769797142565,14.04164448538927,7.916688737425265,7.489170674179402
Haydn,Mozart,8.774436625799062,0.24500618865938728,26.81242048730374,34.25633187330444,13.691335693880262,17.015843362445494
Bach,Alkan,8.81846943115739,0.6898688140765938,40.693772330201845,20.413700175309668,20.358758106152486,10.240108674727846
Alkan,Debussy,8.837313380791501,0.34987416878723954,20.413700175309668,28.964774563467376,10.240108674727846,14.652153298711209
Byrd,Liszt,9.198041715686143,1.0343508177082552,10.806921539809618,30.402888789750357,6.2146208084341445,14.811623859345628
Buxtehude,Chopin,9.226303834828526,0.048772671557387515,19.406786898275165,20.376769797142565,9.065849381242044,7.916688737425265
Beethoven,Alkan,9.238056357187045,0.420786644590994,31.09331664620144,20.413700175309668,15.263398019778723,10.240108674727846
Byrd,Debussy,9.408809498083347,0.9858936092835351,10.806921539809618,28.964774563467376,6.2146208084341445,14.652153298711209
Schumann,Dvorak,9.428179861107845,0.5783019472318922,28.66183929155783,16.074990021340213,14.747400715434559,7.685358524260234
Mozart,Dvorak,9.482553139698593,0.7566067704676911,34.25633187330444,16.074990021340213,17.015843362445494,7.685358524260234
Dvorak,Debussy,9.543460110577005,0.5888157720843541,16.074990021340213,28.964774563467376,7.685358524260234,14.652153298711209
Handel,Scarlatti,9.595191218330125,0.5897792483530528,27.629519904973883,15.319178108005222,13.983845646094954,7.476777001127161
Brahms,Saint,9.715698824498743,0.09556179763546568,26.388074881284695,29.034186969545015,14.022741564857895,14.075657766660775
Beethoven,Tchaikovsky,9.853965689777837,0.10655018435815844,31.09331664620144,27.95071310571697,15.263398019778723,14.221759490763151
Bach,Mozart,9.879538983441641,0.1722036469060173,40.693772330201845,34.25633187330444,20.358758106152486,17.015843362445494
Beethoven,Dvorak,10.228476322248888,0.6597282478881086,31.09331664620144,16.074990021340213,15.263398019778723,7.685358524260234
Buxtehude,Handel,10.248628168844506,0.3532619179170715,19.406786898275165,27.629519904973883,9.065849381242044,13.983845646094954
Handel,Faure,10.50714447850031,0.6768572425962183,27.629519904973883,14.04164448538927,13.983845646094954,7.489170674179402
Byrd,Saint,10.635631109580979,0.9882871845263588,10.806921539809618,29.034186969545015,6.2146208084341445,14.075657766660775
Scarlatti,Tchaikovsky,10.8231570458392,0.6013371983262075,15.319178108005222,27.95071310571697,7.476777001127161,14.221759490763151
Buxtehude,Saint,11.09785510577938,0.4028511516874538,19.406786898275165,29.034186969545015,9.065849381242044,14.075657766660775
Bach,Beethoven,11.105102860598066,0.2690821694855998,40.693772330201845,31.09331664620144,20.358758106152486,15.263398019778723
Saint,Faure,11.236374714508942,0.7264464763666005,29.034186969545015,14.04164448538927,14.075657766660775,7.489170674179402
Scarlatti,Alkan,11.399328475073732,0.2871007380933719,15.319178108005222,20.413700175309668,7.476777001127161,10.240108674727846
Schumann,Brahms,11.428913354412016,0.08265439754018011,28.66183929155783,26.388074881284695,14.747400715434559,14.022741564857895
Byrd,Chopin,11.44234082992644,0.6342087043962925,10.806921539809618,20.376769797142565,6.2146208084341445,7.916688737425265
Byrd,Handel,11.51887146553874,0.9386979507559765,10.806921539809618,27.629519904973883,6.2146208084341445,13.983845646094954
Mozart,Saint,11.588331041938167,0.1653974231405133,34.25633187330444,29.034186969545015,17.015843362445494,14.075657766660775
Scarlatti,Dvorak,11.807275652692445,0.04815913479625733,15.319178108005222,16.074990021340213,7.476777001127161,7.685358524260234
Mozart,Schumann,11.877562693623238,0.17830482323579888,34.25633187330444,28.66183929155783,17.015843362445494,14.747400715434559
Bach,Dvorak,12.014155355380975,0.9288104173737084,40.693772330201845,16.074990021340213,20.358758106152486,7.685358524260234
Bach,Brahms,12.203444059988435,0.4331628676819963,40.693772330201845,26.388074881284695,20.358758106152486,14.022741564857895
Beethoven,Schumann,12.919246432101852,0.08142630065621637,31.09331664620144,28.66183929155783,15.263398019778723,14.747400715434559
Scarlatti,Chopin,12.933582308504992,0.28529000199336885,15.319178108005222,20.376769797142565,7.476777001127161,7.916688737425265
Scarlatti,Schumann,13.25760689750029,0.6264610820281495,15.319178108005222,28.66183929155783,7.476777001127161,14.747400715434559
Byrd,Tchaikovsky,13.290769791139423,0.9502559007291311,10.806921539809618,27.95071310571697,6.2146208084341445,14.221759490763151
Beethoven,Saint,13.597520640163523,0.0685189005609308,31.09331664620144,29.034186969545015,15.263398019778723,14.075657766660775
Chopin,Debussy,13.597981326488455,0.3516849048872426,20.376769797142565,28.964774563467376,7.916688737425265,14.652153298711209
Brahms,Tchaikovsky,13.6097997489351,0.05753051383823804,26.388074881284695,27.95071310571697,14.022741564857895,14.221759490763151
Handel,Mozart,13.717621907129757,0.21498665691089558,27.629519904973883,34.25633187330444,13.983845646094954,17.015843362445494
Byrd,Alkan,14.024730937390485,0.6360194404962956,10.806921539809618,20.413700175309668,6.2146208084341445,10.240108674727846
Schubert,Alkan,14.062459141955395,0.2900542170423521,27.282909205139944,20.413700175309668,13.566313529260334,10.240108674727846
Mozart,Liszt,14.306825094253933,0.11933378995861688,34.25633187330444,30.402888789750357,17.015843362445494,14.811623859345628
Schubert,Dvorak,14.327903256938885,0.5289958203394667,27.282909205139944,16.074990021340213,13.566313529260334,7.685358524260234
Brahms,Dvorak,14.389454094619895,0.4956475496917121,26.388074881284695,16.074990021340213,14.022741564857895,7.685358524260234
Byrd,Dvorak,14.569693166114547,0.397077837199181,10.806921539809618,16.074990021340213,6.2146208084341445,7.685358524260234
Alkan,Brahms,14.630187479808747,0.25670594639459754,20.413700175309668,26.388074881284695,10.240108674727846,14.022741564857895
Chopin,Liszt,14.64191237284804,0.4001421133119627,20.376769797142565,30.402888789750357,7.916688737425265,14.811623859345628
Tchaikovsky,Faure,14.663957798601274,0.6884151925693729,27.95071310571697,14.04164448538927,14.221759490763151,7.489170674179402
Haydn,Alkan,14.70599181081129,0.27265897851118925,26.81242048730374,20.413700175309668,13.691335693880262,10.240108674727846
Schumann,Faure,14.752178456048096,0.713539076271315,28.66183929155783,14.04164448538927,14.747400715434559,7.489170674179402
Haydn,Dvorak,14.818550688816014,0.5116005818083038,26.81242048730374,16.074990021340213,13.691335693880262,7.685358524260234
Buxtehude,Schumann,14.832073970847135,0.3899437515921682,19.406786898275165,28.66183929155783,9.065849381242044,14.747400715434559
Buxtehude,Tchaikovsky,14.987092354491582,0.36481986789022613,19.406786898275165,27.95071310571697,9.065849381242044,14.221759490763151
Bach,Faure,15.007236392032926,1.0640475464131312,40.693772330201845,14.04164448538927,20.358758106152486,7.489170674179402
Schubert,Tchaikovsky,15.082846872829043,0.024182243190483454,27.282909205139944,27.95071310571697,13.566313529260334,14.221759490763151
Buxtehude,Bach,15.123578747238362,0.7404522217339844,19.406786898275165,40.693772330201845,9.065849381242044,20.358758106152486
Handel,Chopin,15.177095789007215,0.304489246359684,27.629519904973883,20.376769797142565,13.983845646094954,7.916688737425265
Mozart,Debussy,15.285070917435753,0.167790998383337,34.25633187330444,28.964774563467376,17.015843362445494,14.652153298711209
Scarlatti,Bach,15.454177385870727,0.9769695521699657,15.319178108005222,40.693772330201845,7.476777001127161,20.358758106152486
Handel,Beethoven,15.500465485396072,0.11810813433131306,27.629519904973883,31.09331664620144,13.983845646094954,15.263398019778723
Byrd,Schumann,15.57469749523635,0.9753797844310732,10.806921539809618,28.66183929155783,6.2146208084341445,14.747400715434559
Alkan,Faure,15.575261410668428,0.3741787323365373,20.413700175309668,14.04164448538927,10.240108674727846,7.489170674179402
Haydn,Tchaikovsky,15.598205034500811,0.041577481721646325,26.81242048730374,27.95071310571697,13.691335693880262,14.221759490763151
Dvorak,Faure,15.72381117720151,0.13523712903942275,16.074990021340213,14.04164448538927,7.685358524260234,7.489170674179402
Buxtehude,Dvorak,15.919624208272563,0.188358195639724,19.406786898275165,16.074990021340213,9.065849381242044,7.685358524260234
Buxtehude,Alkan,16.00748008536523,0.050583407657390556,19.406786898275165,20.413700175309668,9.065849381242044,10.240108674727846
Beethoven,Liszt,16.248431680483872,0.02245526737903436,31.09331664620144,30.402888789750357,15.263398019778723,14.811623859345628
Bach,Schubert,16.842540754632136,0.3998145970342417,40.693772330201845,27.282909205139944,20.358758106152486,13.566313529260334
Beethoven,Debussy,17.10307021237613,0.07091247580375448,31.09331664620144,28.964774563467376,15.263398019778723,14.652153298711209
Byrd,Bach,17.315928851668563,1.3258882545728894,10.806921539809618,40.693772330201845,6.2146208084341445,20.358758106152486
Chopin,Saint,17.476910814449337,0.35407848013006626,20.376769797142565,29.034186969545015,7.916688737425265,14.075657766660775
Bach,Haydn,18.213641928732788,0.4172098355654046,40.693772330201845,26.81242048730374,20.358758106152486,13.691335693880262
Schubert,Schumann,18.26861279324432,0.04930612689242553,27.282909205139944,28.66183929155783,13.566313529260334,14.747400715434559
Scarlatti,Mozart,18.49015796920854,0.8047659052639484,15.319178108005222,34.25633187330444,7.476777001127161,17.015843362445494
Schubert,Saint,19.041248323497467,0.0622135269877111,27.282909205139944,29.034186969545015,13.566313529260334,14.075657766660775
Chopin,Schumann,19.32001410816354,0.3411710800347807,20.376769797142565,28.66183929155783,7.916688737425265,14.747400715434559
Haydn,Saint,19.556606485169233,0.07960876551887397,26.81242048730374,29.034186969545015,13.691335693880262,14.075657766660775
Bach,Chopin,19.675771905965334,0.6916795501765969,40.693772330201845,20.376769797142565,20.358758106152486,7.916688737425265
Haydn,Schumann,20.258897333393868,0.0667013654235884,26.81242048730374,28.66183929155783,13.691335693880262,14.747400715434559
Scarlatti,Beethoven,20.379392187798402,0.7078873826843659,15.319178108005222,31.09331664620144,7.476777001127161,15.263398019778723
Mozart,Brahms,21.077945016453,0.260959220775979,34.25633187330444,26.388074881284695,17.015843362445494,14.022741564857895
Byrd,Mozart,21.10377574115723,1.153684607666872,10.806921539809618,34.25633187330444,6.2146208084341445,17.015843362445494
Handel,Schubert,21.3323235124409,0.01262429321732883,27.629519904973883,27.282909205139944,13.983845646094954,13.566313529260334
Chopin,Tchaikovsky,21.414906976406314,0.3160471963328386,20.376769797142565,27.95071310571697,7.916688737425265,14.221759490763151
Handel,Haydn,21.84768167411267,0.0300195317484917,27.629519904973883,26.81242048730374,13.983845646094954,13.691335693880262
Schubert,Liszt,21.86740665566814,0.10827716016960753,27.282909205139944,30.402888789750357,13.566313529260334,14.811623859345628
Chopin,Dvorak,22.194561322091104,0.23713086719711152,20.376769797142565,16.074990021340213,7.916688737425265,7.685358524260234
Mozart,Faure,22.228211342748708,0.8918438995071138,34.25633187330444,14.04164448538927,17.015843362445494,7.489170674179402
Haydn,Liszt,22.38276481733991,0.1256723987007704,26.81242048730374,30.402888789750357,13.691335693880262,14.811623859345628
Chopin,Alkan,22.435294707279958,0.0018107361000030409,20.376769797142565,20.413700175309668,7.916688737425265,10.240108674727846
Buxtehude,Mozart,22.50501369495327,0.5682485748279671,19.406786898275165,34.25633187330444,9.065849381242044,17.015843362445494
Beethoven,Brahms,22.83382839742066,0.16408069819639648,31.09331664620144,26.388074881284695,15.263398019778723,14.022741564857895
Schubert,Debussy,22.899772522746897,0.05981995174488741,27.282909205139944,28.964774563467376,13.566313529260334,14.652153298711209
Byrd,Beethoven,23.11315761929718,1.0568060850872896,10.806921539809618,31.09331664620144,6.2146208084341445,15.263398019778723
Haydn,Debussy,23.415130684418664,0.07721519027605028,26.81242048730374,28.964774563467376,13.691335693880262,14.652153298711209
Beethoven,Faure,24.23533018442041,0.7949653769275313,31.09331664620144,14.04164448538927,15.263398019778723,7.489170674179402
Buxtehude,Beethoven,24.38898670709822,0.4713700522483846,19.406786898275165,31.09331664620144,9.065849381242044,15.263398019778723
Scarlatti,Schubert,25.432720440279983,0.577154955135724,15.319178108005222,27.282909205139944,7.476777001127161,13.566313529260334
Scarlatti,Haydn,25.94807860195175,0.5597597166045611,15.319178108005222,26.81242048730374,7.476777001127161,13.691335693880262
Byrd,Schubert,27.971075088854683,0.9260736575386477,10.806921539809618,27.282909205139944,6.2146208084341445,13.566313529260334
Byrd,Haydn,28.39948491209446,0.9086784190074848,10.806921539809618,26.81242048730374,6.2146208084341445,13.691335693880262
Schubert,Brahms,28.69264662176414,0.033348270647754585,27.282909205139944,26.388074881284695,13.566313529260334,14.022741564857895
Mozart,Chopin,28.88305224392421,0.5194759032705796,34.25633187330444,20.376769797142565,17.015843362445494,7.916688737425265
Haydn,Brahms,29.20800478343591,0.015953032116591714,26.81242048730374,26.388074881284695,13.691335693880262,14.022741564857895
Schubert,Faure,29.603905716483506,0.6642329493788894,27.282909205139944,14.04164448538927,13.566313529260334,7.489170674179402
Buxtehude,Schubert,30.069939227320628,0.3406376246997427,19.406786898275165,27.282909205139944,9.065849381242044,13.566313529260334
Haydn,Faure,30.102969236549008,0.6468377108477266,26.81242048730374,14.04164448538927,13.691335693880262,7.489170674179402
Buxtehude,Haydn,30.585297388992394,0.3232423861685798,19.406786898275165,26.81242048730374,9.065849381242044,13.691335693880262
Beethoven,Chopin,30.63375752018045,0.42259738069099706,31.09331664620144,20.376769797142565,15.263398019778723,7.916688737425265
Schubert,Chopin,36.49775384923535,0.29186495314235517,27.282909205139944,20.376769797142565,13.566313529260334,7.916688737425265
Haydn,Chopin,37.01311201090712,0.2744697146111923,26.81242048730374,20.376769797142565,13.691335693880262,7.916688737425265
