Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo
songs,NaN,"MORGEN MUSS ICH FORT VON HIER
",NaN,NaN,NaN,folksongs,deut1407.krn
songs,NaN,"NIMM SIE BEI DER SCHNEEWEISSEN HAND
",NaN,NaN,NaN,folksongs,deut1538.krn
songs,NaN,"ES WOHNT EIN MARKGRAF AN DEM RHEIN
",NaN,NaN,NaN,folksongs,deut0870.krn
songs,NaN,"ALS ICH AN EINEM SOMMERTAG
",NaN,NaN,NaN,folksongs,deut1079.krn
songs,NaN,"WILLST DU ABER NICHT RECHT LIEBEN
",NaN,NaN,NaN,folksongs,deut1297.krn
songs,NaN,"ICH GIENG EINMAL IN GARTEN
",NaN,NaN,NaN,folksongs,deut1909.krn
songs,NaN,"ZUM SOLDAT BIN ICH GEBOREN
",NaN,NaN,NaN,folksongs,deut1807.krn
songs,NaN,"LEBE WOHL ES NAHT DIE STUNDE
",NaN,NaN,NaN,folksongs,deut1813.krn
songs,NaN,"ES WARN EINMAL ZWEI BAUERNSOEHN
",NaN,NaN,NaN,folksongs,deut0648.krn
songs,NaN,"LASS DOCH MEINE JUGEND
",NaN,NaN,NaN,folksongs,deut1582.krn
songs,NaN,"SCHATZ WENN DU REISEN WILLST
",NaN,NaN,NaN,folksongs,deut1373.krn
songs,NaN,"WILL ICH IN MEIN GAERTCHEN GEHN
",NaN,NaN,NaN,folksongs,deut0586.krn
songs,NaN,"WO SOLL ICH MICH HINWENDEN
",NaN,NaN,NaN,folksongs,deut1769.krn
songs,NaN,"MAEDELE RUCK AN MEINE GRUENE SEITE
",NaN,NaN,NaN,folksongs,deut1097.krn
songs,NaN,"ES KAM EIN BETRUEBTER REITER DAHER
",NaN,NaN,NaN,folksongs,deut0868.krn
songs,NaN,"WEIL MICH DAS GLUECK GEFUEHRT
",NaN,NaN,NaN,folksongs,deut1537.krn
songs,NaN,"WAS WIRST DU MIR MITBRINGEN
",NaN,NaN,NaN,folksongs,deut0689.krn
songs,NaN,"BERGLEUT SIND DIE SCHOENSTEN LEUT
",NaN,NaN,NaN,folksongs,deut1894.krn
songs,NaN,"REDLICH IST DER DEUTSCHE MANN
",NaN,NaN,NaN,folksongs,deut1754.krn
songs,NaN,"DES MORGENS ZWISCHEN DREIN UND VIEREN
",NaN,NaN,NaN,folksongs,deut1741.krn
songs,NaN,"ALL WELT SOLL BILLIG FROEHLICH SEIN
",NaN,NaN,NaN,folksongs,deut2152.krn
songs,NaN,"ZWISCHEN BERG UND TIEFEM THAL
",NaN,NaN,NaN,folksongs,deut0851.krn
songs,NaN,"SCHOEN IST SO WEIT UND BREIT DIE WELT
",NaN,NaN,NaN,folksongs,deut1952.krn
songs,NaN,"SO SCHLAEGT DIE BITTRE TRENNUNGSSTUNDE
",NaN,NaN,NaN,folksongs,deut1365.krn
songs,NaN,"TABAK IST MEIN LEBEN
",NaN,NaN,NaN,folksongs,deut2041.krn
songs,NaN,"ES WOLLT EIN HERR AUSREITEN
",NaN,NaN,NaN,folksongs,deut0902.krn
songs,NaN,"KIND WO BIST DU DENN HENNE WEST
",NaN,NaN,NaN,folksongs,deut0890.krn
songs,NaN,"LIEBLICH HAT SICH GESELLET
",NaN,NaN,NaN,folksongs,deut1043.krn
songs,NaN,"ICH WILL MICH UMSCHAUEN
",NaN,NaN,NaN,folksongs,deut1275.krn
songs,NaN,"WAS WIRD WOHL MEIN SCHAETZLEIN DENKEN
",NaN,NaN,NaN,folksongs,deut1077.krn
songs,NaN,"ES WAR EIN REICHER KAUFMANNSSOHN
",NaN,NaN,NaN,folksongs,deut0656.krn
songs,NaN,"HEUT IST EIN FREUDENREICHER TAG
",NaN,NaN,NaN,folksongs,deut1618.krn
songs,NaN,"MARIA GING AUS ZU WANDERN
",NaN,NaN,NaN,folksongs,deut2199.krn
songs,NaN,"ICH SOLL UND MUSS EIN BULEN HABEN
",NaN,NaN,NaN,folksongs,deut1454.krn
songs,NaN,"ES WAR EIN KLEINER MANN
",NaN,NaN,NaN,folksongs,deut1485.krn
songs,NaN,"BIN I NET A PUERSCHLE
",NaN,NaN,NaN,folksongs,deut1560.krn
songs,NaN,"HEU MARTIS ALEA
",NaN,NaN,NaN,folksongs,deut0942.krn
songs,NaN,"DIE TROMMEL RUFT UND ICH MUSS FORT
",NaN,NaN,NaN,folksongs,deut1810.krn
songs,NaN,"ES GIENG A MOL A BETTELSMANN
",NaN,NaN,NaN,folksongs,deut0816.krn
songs,NaN,"DIE REISE NACH SUEDLAND
",NaN,NaN,NaN,folksongs,deut1831.krn
songs,NaN,"ES GIENG EIN JUNG KUECHENJUNG
",NaN,NaN,NaN,folksongs,deut0884.krn
songs,NaN,"ZU STRASSBURG AUF DER SCHANZ
",NaN,NaN,NaN,folksongs,deut1798.krn
songs,NaN,"ICH FAHR DAHIN WANN ES MUSS SEIN
",NaN,NaN,NaN,folksongs,deut1354.krn
songs,NaN,"DA DROBEN VOR DER HIMMLISCHEN THUER
",NaN,NaN,NaN,folksongs,deut2184.krn
songs,NaN,"SCHLAF KINDKEN SCHLAFE
",NaN,NaN,NaN,folksongs,deut2062.krn
songs,NaN,"ALS DIE GROSSE STADT BELGARAD
",NaN,NaN,NaN,folksongs,deut0960.krn
songs,NaN,"ZUFRIEDENHEIT IST MEIN VERGNUEGEN
",NaN,NaN,NaN,folksongs,deut2059.krn
songs,NaN,"HIER SIND DIE DREI WEISEN
",NaN,NaN,NaN,folksongs,deut1679.krn
songs,NaN,"CHRISTINCHEN GIENG IN GARTEN
",NaN,NaN,NaN,folksongs,deut0584.krn
songs,NaN,"VON HAUSE MUSS ICH FORT
",NaN,NaN,NaN,folksongs,deut1934.krn
songs,NaN,"ES WOLLT EIN MAEDCHEN GRASEN GEHN
",NaN,NaN,NaN,folksongs,deut0695.krn
songs,NaN,"SCHOE JUNG IS MAI BLUT
",NaN,NaN,NaN,folksongs,deut1607.krn
songs,NaN,"ICH BIN JA EIN DEUTSCHER
",NaN,NaN,NaN,folksongs,deut1775.krn
songs,NaN,"ICH WOLLT EIN BAEUMLEIN STEIGEN
",NaN,NaN,NaN,folksongs,deut1098.krn
songs,NaN,"HANS IM SCHNOCKELOCH
",NaN,NaN,NaN,folksongs,deut1999.krn
songs,NaN,"IN BOEHMEN LIEGT EIN STAEDTCHEN
",NaN,NaN,NaN,folksongs,deut1787.krn
songs,NaN,"WER HAT LUST MIT MIR ZU ZIEHEN
",NaN,NaN,NaN,folksongs,deut2039.krn
songs,NaN,"DORT UNTEN GEHT MEIN TRAUERN AN
",NaN,NaN,NaN,folksongs,deut1287.krn
songs,NaN,"FRISCH AUF GUT GSELL
",NaN,NaN,NaN,folksongs,deut1643.krn
songs,NaN,"ES WOHNTE EINE WITWE
",NaN,NaN,NaN,folksongs,deut0664.krn
songs,NaN,"ES WAR EINMAL EINE MUELLERIN
",NaN,NaN,NaN,folksongs,deut0831.krn
songs,NaN,"BUHSKE DI REMMER
",NaN,NaN,NaN,folksongs,deut0847.krn
songs,NaN,"DANZ RUEBER DANZ NUEBER
",NaN,NaN,NaN,folksongs,deut1584.krn
songs,NaN,"ES HAETT EIN SCHWAB EIN TOECHTERLEIN
",NaN,NaN,NaN,folksongs,deut0791.krn
songs,NaN,"HIER STEHEN WIR AUF UNSERN KRUECKEN
",NaN,NaN,NaN,folksongs,deut0957.krn
songs,NaN,"DIE BLAUE FLAGGE
",NaN,NaN,NaN,folksongs,deut1878.krn
songs,NaN,"IN STUECKE MOECHT ICH MICH ZERREISSEN
",NaN,NaN,NaN,folksongs,deut1330.krn
songs,NaN,"DA JESUS IN DEN GARTEN GING
",NaN,NaN,NaN,folksongs,deut2144.krn
songs,NaN,"ACH WIE BALD SCHWINDET SCHOENHEIT
",NaN,NaN,NaN,folksongs,deut1326.krn
songs,NaN,"WAS IST MIT DIR GESCHEHEN
",NaN,NaN,NaN,folksongs,deut0996.krn
songs,NaN,"AUF UND AN SPANNT DEN HAHN
",NaN,NaN,NaN,folksongs,deut1851.krn
songs,NaN,"GUETE MORGEN BUCKLIGE GRET
",NaN,NaN,NaN,folksongs,deut0587.krn
songs,NaN,"HIER STEHEN WIRAUF UNSERN KRUECKEN
",NaN,NaN,NaN,folksongs,deut0958.krn
songs,NaN,"MAEDCHEN HAST DU LUST ZU TRUTZEN
",NaN,NaN,NaN,folksongs,deut1230.krn
songs,NaN,"ES FUHR EIN BAUER UEBER DEN RHEIN
",NaN,NaN,NaN,folksongs,deut0882.krn
songs,NaN,"OP DOE GROENE WESE
",NaN,NaN,NaN,folksongs,deut1532.krn
songs,NaN,"ICH GEH AUF DIE KIRCHMESS
",NaN,NaN,NaN,folksongs,deut1553.krn
songs,NaN,"ES WOLLT EIN JUNGFRAU INS KLOSTER GEHN;
",NaN,NaN,NaN,folksongs,deut1504.krn
songs,NaN,"BLEIBT BEISAMMEN DENN ES DAUERT NET MEHR LANGE
",NaN,NaN,NaN,folksongs,deut1665.krn
songs,NaN,"WENN I ZUM BRUENNLE GEH
",NaN,NaN,NaN,folksongs,deut1306.krn
songs,NaN,"GUT GSELL UND DU MUSST WANDERN
",NaN,NaN,NaN,folksongs,deut1051.krn
songs,NaN,"S ISCH WAHR I WILL NIMMAEMEH LIAEGE
",NaN,NaN,NaN,folksongs,deut1629.krn
songs,NaN,"LEBEWOHL DU DIE ICH EWIG LIEBE
",NaN,NaN,NaN,folksongs,deut1366.krn
songs,NaN,"ES HUETET EIN SCHAEFER
",NaN,NaN,NaN,folksongs,deut0929.krn
songs,NaN,"ES WAREN DREI GESELLEN
",NaN,NaN,NaN,folksongs,deut1711.krn
songs,NaN,"ES WAR EINMAL EIN ARMER MANN
",NaN,NaN,NaN,folksongs,deut2215.krn
songs,NaN,"WIR PREUSSEN ZIEHEN IN DAS FELD
",NaN,NaN,NaN,folksongs,deut0974.krn
songs,NaN,"EINE HELDIN WOHL ERZOGEN
",NaN,NaN,NaN,folksongs,deut1864.krn
songs,NaN,"WO BIST DU DENN SO LANG GEWES'N
",NaN,NaN,NaN,folksongs,deut0891.krn
songs,NaN,"WIE FAELSCHLICH DIE JUDEN
",NaN,NaN,NaN,folksongs,deut2187.krn
songs,NaN,"KOMMT HER IHR LIEBEN SCHWESTERLEIN
",NaN,NaN,NaN,folksongs,deut1516.krn
songs,NaN,"Es haett ein Maidlein ein Reiter hold
",NaN,NaN,NaN,folksongs,deut2252.krn
songs,NaN,"ES BLIES EIN JAEGER WOL IN SEIN HORN
",NaN,NaN,NaN,folksongs,deut0598.krn
songs,NaN,"WER BEKUEMMERT SICH
",NaN,NaN,NaN,folksongs,deut1761.krn
songs,NaN,"LASST UNS SINGN UND FROEHLICH SEIN
",NaN,NaN,NaN,folksongs,deut1656.krn
songs,NaN,"ABSCHIED MUSS ICH NEHMEN HIER
",NaN,NaN,NaN,folksongs,deut1386.krn
songs,NaN,"A REDDER TRAED A BAI
",NaN,NaN,NaN,folksongs,deut2055.krn
songs,NaN,"LUSTIG FROH IHR DEUTSCHEN BRUEDER
",NaN,NaN,NaN,folksongs,deut1774.krn
songs,NaN,"ZU STRASSBURG AUF DER SCHANZ
",NaN,NaN,NaN,folksongs,deut1797.krn
songs,NaN,"ICH HABE MEIN FEINSLIEBCHEN
",NaN,NaN,NaN,folksongs,deut1116.krn
songs,NaN,"WENN ICH EIN KLEINS WALDVOEGLEIN WAER
",NaN,NaN,NaN,folksongs,deut1075.krn
songs,NaN,"ICH SCHMISS ZWO AEDDLE RUISSEN
",NaN,NaN,NaN,folksongs,deut1349.krn
songs,NaN,"SCHAETZCHEN REICH MIR DEINE HAND
",NaN,NaN,NaN,folksongs,deut1379.krn
songs,NaN,"ES LEUCHTET SCHON WIEDER
",NaN,NaN,NaN,folksongs,deut1122.krn
songs,NaN,"IN DES GARTENS DUNKLER LAUBE
",NaN,NaN,NaN,folksongs,deut0774.krn
songs,NaN,"WAS BLINKT SO FREUNDLICH IN DER FERNE
",NaN,NaN,NaN,folksongs,deut1771.krn
songs,NaN,"BALD GRAS ICH AM NECKAR
",NaN,NaN,NaN,folksongs,deut1603.krn
songs,NaN,"SUSANNA SPRANG ZUM THOR HINAUS
",NaN,NaN,NaN,folksongs,deut0652.krn
songs,NaN,"D REKRUTE SIN BRAVI SOLDATE
",NaN,NaN,NaN,folksongs,deut1766.krn
songs,NaN,"SCHARRET DAS FEUER ZU KOHLEN
",NaN,NaN,NaN,folksongs,deut1536.krn
songs,NaN,"JUNGFRAU IN DEM ROTHEN ROCK
",NaN,NaN,NaN,folksongs,deut1518.krn
songs,NaN,"WERS LIEBEN BETRACHT
",NaN,NaN,NaN,folksongs,deut1420.krn
songs,NaN,"BEI SEDAN AUF DEN HOEHEN
",NaN,NaN,NaN,folksongs,deut1790.krn
songs,NaN,"ICH FORCHT MICH
",NaN,NaN,NaN,folksongs,deut0915.krn
songs,NaN,"ES WAR EINE REICHE JUEDIN
",NaN,NaN,NaN,folksongs,deut0748.krn
songs,NaN,"ZU FRANKFURT VOR DEM THOR
",NaN,NaN,NaN,folksongs,deut1768.krn
songs,NaN,"ES KAMEN ZWEI GEGANGEN
",NaN,NaN,NaN,folksongs,deut1468.krn
songs,NaN,"HERMANN FLA LAERM AN
",NaN,NaN,NaN,folksongs,deut1704.krn
songs,NaN,"HE HE FERNDIN
",NaN,NaN,NaN,folksongs,deut1910.krn
songs,NaN,"STRASSBURG MUSS ICH LASSEN
",NaN,NaN,NaN,folksongs,deut1938.krn
songs,NaN,"GESTERN BEI MONDENSCHEIN
",NaN,NaN,NaN,folksongs,deut1133.krn
songs,NaN,"ACH WIE ISTS MOEGLICH DANN
",NaN,NaN,NaN,folksongs,deut1135.krn
songs,NaN,"HIER TRETEN WIR HER
",NaN,NaN,NaN,folksongs,deut1681.krn
songs,NaN,"SITZT EIN SCHOENS VOEGEL IM TANNENWALD
",NaN,NaN,NaN,folksongs,deut1918.krn
songs,NaN,"JETZT REISEN WIR BRUEDER WOL ALLE ZUGLEICH
",NaN,NaN,NaN,folksongs,deut1933.krn
songs,NaN,"KLIPFEN FELSEN HOHE BERGE
",NaN,NaN,NaN,folksongs,deut1269.krn
songs,NaN,"ES FLIEGT GAR MANCHES VOEGELEIN
",NaN,NaN,NaN,folksongs,deut1087.krn
songs,NaN,"ES GEHT EIN BU BA BUTZEMANN
",NaN,NaN,NaN,folksongs,deut0588.krn
songs,NaN,"SCHON WIEDER TOENT VOM SCHACHTE HER
",NaN,NaN,NaN,folksongs,deut1893.krn
songs,NaN,"MIT  LUST TRITT ICH AN DIESEN TANZ
",NaN,NaN,NaN,folksongs,deut1507.krn
songs,NaN,"BAEURIN DU SOLLST HEIMEGEHN
",NaN,NaN,NaN,folksongs,deut1498.krn
songs,NaN,"EI MEI LIEBES MALCHEN
",NaN,NaN,NaN,folksongs,deut1905.krn
songs,NaN,"ICH HAETT MIR FUERGENOMMEN
",NaN,NaN,NaN,folksongs,deut1029.krn
songs,NaN,"ES WARN EINMAL ZWEI MAEDCHEN
",NaN,NaN,NaN,folksongs,deut0920.krn
songs,NaN,"JETZT GEH ICH ANS BRUENNELEIN
",NaN,NaN,NaN,folksongs,deut0908.krn
songs,NaN,"ICH WUENSCHT ES WAERE NACHT
",NaN,NaN,NaN,folksongs,deut1419.krn
songs,NaN,"IN DES GARTENS DUNKLER LAUBE
",NaN,NaN,NaN,folksongs,deut0776.krn
songs,NaN,"WIE KOENNTE DENN HEUTE DIE WELT NOCH BESTEHEN
",NaN,NaN,NaN,folksongs,deut1891.krn
songs,NaN,"AFM WASSA BIN I GFOAHRN
",NaN,NaN,NaN,folksongs,deut1243.krn
songs,NaN,"ES GIENG EIN KNABE SPAZIEREN
",NaN,NaN,NaN,folksongs,deut0900.krn
songs,NaN,"DER WIND DER WEHT
",NaN,NaN,NaN,folksongs,deut2077.krn
songs,NaN,"HAMBURG IST EIN SCHOENES STAEDTCHEN
",NaN,NaN,NaN,folksongs,deut1816.krn
songs,NaN,"GESTERN ABEND IN DER STILLEN RUH
",NaN,NaN,NaN,folksongs,deut1089.krn
songs,NaN,"IN MEINES VATERS GARTEN
",NaN,NaN,NaN,folksongs,deut1821.krn
songs,NaN,"ICH KANN UND MAG NICHT FROEHLICH SEIN
",NaN,NaN,NaN,folksongs,deut1368.krn
songs,NaN,"WAS GOTT THUT DAS IST WOHLGETHAN
",NaN,NaN,NaN,folksongs,deut2162.krn
songs,NaN,"UND DU GLAUBST DU WAERST DIE SCHOENSTE
",NaN,NaN,NaN,folksongs,deut1244.krn
songs,NaN,"JETZT REISEN WIR ZUM THOR HINAUS
",NaN,NaN,NaN,folksongs,deut1363.krn
songs,NaN,"IN DER EICHE DA WOHNET MEIN LIEBCHEN
",NaN,NaN,NaN,folksongs,deut0642.krn
songs,NaN,"FRISCH LUSTIG UND FROEHLICH
",NaN,NaN,NaN,folksongs,deut1953.krn
songs,NaN,"WIE EDEL IST DAS BERGMANNSLEBEN
",NaN,NaN,NaN,folksongs,deut1890.krn
songs,NaN,"ES LIEGT EIN SCHLOSS IN OESTERREICH
",NaN,NaN,NaN,folksongs,deut0670.krn
songs,NaN,"DROBEN AUF GRUENER WALDHAID
",NaN,NaN,NaN,folksongs,deut2020.krn
songs,NaN,"ES WAR EIN JUNGER MARKGRAFENSOHN
",NaN,NaN,NaN,folksongs,deut0818.krn
songs,NaN,"GRAF FRIEDRICH WOLLT AUSREITEN
",NaN,NaN,NaN,folksongs,deut0752.krn
songs,NaN,"MAETEN ES EN GOOD MANN
",NaN,NaN,NaN,folksongs,deut1698.krn
songs,NaN,"Es wohnet Lieb bei Liebe
",NaN,NaN,NaN,folksongs,deut2264.krn
songs,NaN,"ES TRIEB EIN SCHAEFER DEN BERG HINAN
",NaN,NaN,NaN,folksongs,deut0631.krn
songs,NaN,"STERBEN IST EIN SCHWERER BUSS
",NaN,NaN,NaN,folksongs,deut2236.krn
songs,NaN,"ES WOLLT EIN MAEDCHEN EIN SCHNEIDER
",NaN,NaN,NaN,folksongs,deut2056.krn
songs,NaN,"WILHELM KOMM AN MEINE SEITE
",NaN,NaN,NaN,folksongs,deut0969.krn
songs,NaN,"ROTHE BAECKLE BLAU AEUGLE
",NaN,NaN,NaN,folksongs,deut1577.krn
songs,NaN,"KOMM WIR WOLLEN WANDERN
",NaN,NaN,NaN,folksongs,deut2119.krn
songs,NaN,"ACH JOSEPH LIEBER JOSEPH
",NaN,NaN,NaN,folksongs,deut0661.krn
songs,NaN,"SOLL SICH DER MOND NICHT HELLER SCHEINEN
",NaN,NaN,NaN,folksongs,deut1430.krn
songs,NaN,"WUNDERSCHOEN PRAECHTIGE HOEHE UND MAECHTIGE
",NaN,NaN,NaN,folksongs,deut2207.krn
songs,NaN,NaN,NaN,NaN,NaN,folksongs,deut0946.krn
songs,NaN,"EIN SCHAEFER TRAEGT SORGEN
",NaN,NaN,NaN,folksongs,deut1069.krn
songs,NaN,"STORCH STORCH STANNE
",NaN,NaN,NaN,folksongs,deut2089.krn
songs,NaN,"ACH MUTTER S HAT FREIER HIER
",NaN,NaN,NaN,folksongs,deut1444.krn
songs,NaN,"GUTEN TAG MEIN LIEBER HERR PAPA
",NaN,NaN,NaN,folksongs,deut1988.krn
songs,NaN,"WIE IN DEM FRUEHLING UND SO IM SOMMER
",NaN,NaN,NaN,folksongs,deut1342.krn
songs,NaN,"WER WILL EIN JUENGER JESU SEIN
",NaN,NaN,NaN,folksongs,deut1717.krn
songs,NaN,"WER LIEBEN WILL MUSS LEIDEN
",NaN,NaN,NaN,folksongs,deut1207.krn
songs,NaN,"HEUT SCHEIDEN WIR AUS EUREM KREISE
",NaN,NaN,NaN,folksongs,deut1770.krn
songs,NaN,"UND SCHAU ICH HIN
",NaN,NaN,NaN,folksongs,deut1199.krn
songs,NaN,"ZEUCH FAHLE ZEUCH
",NaN,NaN,NaN,folksongs,deut1650.krn
songs,NaN,"DER MAI WILL SICH MIT GUNSTEN
",NaN,NaN,NaN,folksongs,deut0998.krn
songs,NaN,"HANSEL DEIN GRETELEIN IST EIN FAULS SCHLAMPERLEIN
",NaN,NaN,NaN,folksongs,deut1443.krn
songs,NaN,"ES TRIEB EIN SCHAEFER DIE LAEMMELEIN AUS
",NaN,NaN,NaN,folksongs,deut0630.krn
songs,NaN,"NUN LAET UNS SENGN
",NaN,NaN,NaN,folksongs,deut1271.krn
songs,NaN,"BLAKOHL SEIN DIE BESTEN PFLANZEN
",NaN,NaN,NaN,folksongs,deut1693.krn
songs,NaN,"MUSS I DENN MUSS I DENN
",NaN,NaN,NaN,folksongs,deut1399.krn
songs,NaN,"ES WAR EINE STOLZE JUEDIN
",NaN,NaN,NaN,folksongs,deut0743.krn
songs,NaN,"DIE GEDANKEN SIND FREI
",NaN,NaN,NaN,folksongs,deut2057.krn
songs,NaN,"DER KUCKUK IST EIN KLUGER MANN
",NaN,NaN,NaN,folksongs,deut1480.krn
songs,NaN,"ES FUHR EIN SCHIFFLEIN WOL UEBER DEN RHEIN
",NaN,NaN,NaN,folksongs,deut0883.krn
songs,NaN,"UEBERS JAHR MEIN SCHATZ
",NaN,NaN,NaN,folksongs,deut1405.krn
songs,NaN,"ES WOHNT EIN MARKGRAF AN DEM RHEIN
",NaN,NaN,NaN,folksongs,deut0871.krn
songs,NaN,"ES DUNKELT IN DEM WALDE
",NaN,NaN,NaN,folksongs,deut1266.krn
songs,NaN,"Het waren twe konigs kinderen
",NaN,NaN,NaN,folksongs,deut2263.krn
songs,NaN,"TRAURIGES MAEDCHEN VERZAGE NUR NICHT
",NaN,NaN,NaN,folksongs,deut1318.krn
songs,NaN,"BESENBINDERS TOCHTER
",NaN,NaN,NaN,folksongs,deut1481.krn
songs,NaN,"WIR PREUSSISCHE HUSAREN
",NaN,NaN,NaN,folksongs,deut1719.krn
songs,NaN,"STOLZ SYBURG WOLLTE FREIEN GEHN
",NaN,NaN,NaN,folksongs,deut0611.krn
songs,NaN,"MORGEN WILL MEIN SCHATZ ABREISEN
",NaN,NaN,NaN,folksongs,deut1395.krn
songs,NaN,"ACH PREUSSE WAS HAST DU GEFANGEN AN
",NaN,NaN,NaN,folksongs,deut0966.krn
songs,NaN,"DAS JAGEN DAS IST JA MEIN LEBEN
",NaN,NaN,NaN,folksongs,deut1857.krn
songs,NaN,"ICH HABE DEN FRUEHLING GESEHEN
",NaN,NaN,NaN,folksongs,deut1351.krn
songs,NaN,"SCHOEN HANNCHEN GING AM UFER
",NaN,NaN,NaN,folksongs,deut1313.krn
songs,NaN,"ES RITT EIN HERR UND AUCH SEIN KNECHT
",NaN,NaN,NaN,folksongs,deut0703.krn
songs,NaN,"ES FREIT EIN WILDER WASSERMANN
",NaN,NaN,NaN,folksongs,deut0572.krn
songs,NaN,"GESELLEN STIMMET MIT MIR EIN
",NaN,NaN,NaN,folksongs,deut1960.krn
songs,NaN,"EIN MAEKEN VON ACHTEIN JAHREN
",NaN,NaN,NaN,folksongs,deut0925.krn
songs,NaN,"WAS BRINGEN UNS DIE SCHWABEN
",NaN,NaN,NaN,folksongs,deut1990.krn
songs,NaN,"EIN GUCKGUCK WOLLT AUSFLIEGEN
",NaN,NaN,NaN,folksongs,deut1057.krn
songs,NaN,"SPINN MAEGDLEIN SPINN
",NaN,NaN,NaN,folksongs,deut1914.krn
songs,NaN,"ES WOLLT EIN JAEGER JAGEN
",NaN,NaN,NaN,folksongs,deut1836.krn
songs,NaN,"WOL IN DER HAUPTSTADT DANZIG
",NaN,NaN,NaN,folksongs,deut0933.krn
songs,NaN,"NUN REUEN MICH DIE GUTEN SCHUCH
",NaN,NaN,NaN,folksongs,deut1520.krn
songs,NaN,"ZU FRANKFURTH  STAND EIN SCHIENES HAUS
",NaN,NaN,NaN,folksongs,deut0922.krn
songs,NaN,"DER MIT DEM SABEL
",NaN,NaN,NaN,folksongs,deut1572.krn
songs,NaN,"DIE BINSCHGAUER WOLLTEN WALLFAHRTEN GEHN
",NaN,NaN,NaN,folksongs,deut2035.krn
songs,NaN,"MAEDCHEN WENN ICH DICH ERBLICKE
",NaN,NaN,NaN,folksongs,deut1154.krn
songs,NaN,"MIR GLIEBT IM GRUENEN MAIEN
",NaN,NaN,NaN,folksongs,deut0999.krn
songs,NaN,"GRUESS DE GOTT
",NaN,NaN,NaN,folksongs,deut1337.krn
songs,NaN,"WIR SITZEN SO FROEHLICH
",NaN,NaN,NaN,folksongs,deut1194.krn
songs,NaN,"ACH DEN ICH HAETT SO GERN
",NaN,NaN,NaN,folksongs,deut1223.krn
songs,NaN,"WAS KANN MICH DENN MEHR ERGOETZEN
",NaN,NaN,NaN,folksongs,deut1845.krn
songs,NaN,"WIR GNIESSEN DIE HIMMLISCHEN FREUDEN
",NaN,NaN,NaN,folksongs,deut2038.krn
songs,NaN,"MIT LIEB BIN ICH UMFANGEN
",NaN,NaN,NaN,folksongs,deut1004.krn
songs,NaN,"Ic sie die morghen sterre
",NaN,NaN,NaN,folksongs,deut2244.krn
songs,NaN,"ALLE LEUTE SOLLENS WISSEN
",NaN,NaN,NaN,folksongs,deut1211.krn
songs,NaN,"ES STOT EIN LIND IM HIMMELREICH
",NaN,NaN,NaN,folksongs,deut0688.krn
songs,NaN,"DER LUNZI KUMMT
",NaN,NaN,NaN,folksongs,deut2115.krn
songs,NaN,"ICH WEISS EINE EWIGE SPINNERIN
",NaN,NaN,NaN,folksongs,deut2203.krn
songs,NaN,"IM MAIEN DIE VOEGELEIN SINGEN
",NaN,NaN,NaN,folksongs,deut1528.krn
songs,NaN,"DORT WO DIE KLAREN BAECHLEIN RINNEN
",NaN,NaN,NaN,folksongs,deut1877.krn
songs,NaN,"NAPOLEON DU GROSSER SIEGER
",NaN,NaN,NaN,folksongs,deut0973.krn
songs,NaN,"SCHOEN ULRICH WOLLT SPAZIEREN GEHN
",NaN,NaN,NaN,folksongs,deut0617.krn
songs,NaN,"GESTERN ABEND IN DER STILLEN RUH
",NaN,NaN,NaN,folksongs,deut1094.krn
songs,NaN,"REIM DICH ODR ICH FRESS DICH
",NaN,NaN,NaN,folksongs,deut2024.krn
songs,NaN,"MF[ERK2 AUF O CHRIST
",NaN,NaN,NaN,folksongs,deut1462.krn
songs,NaN,"N' MONTA HATS GREGNET
",NaN,NaN,NaN,folksongs,deut1599.krn
songs,NaN,"ZU FRANKFURT AN DER ODER
",NaN,NaN,NaN,folksongs,deut1957.krn
songs,NaN,"ES WARN EINMAL ZWEI BAUERNSOEHN
",NaN,NaN,NaN,folksongs,deut0646.krn
songs,NaN,"GANZ VERGNUEGT UND EINSAM
",NaN,NaN,NaN,folksongs,deut1093.krn
songs,NaN,"DER SPERLING DER GIBT DER BRAUT DEN TRAURING
",NaN,NaN,NaN,folksongs,deut0843.krn
songs,NaN,"IN DEM FRUEHLING IN DEM SOMMER
",NaN,NaN,NaN,folksongs,deut1341.krn
songs,NaN,"ES KANN MICH NICHTS SCHOENRES ERFREUEN
",NaN,NaN,NaN,folksongs,deut0641.krn
songs,NaN,"NUN SO WOLLN WIR NOCH EINMAL
",NaN,NaN,NaN,folksongs,deut2002.krn
songs,NaN,"ES IST NICHTS SCHOENRES AUF DER WELT
",NaN,NaN,NaN,folksongs,deut1749.krn
songs,NaN,"EIN FESTE BURG IST UNSER GOTT
",NaN,NaN,NaN,folksongs,deut2153.krn
songs,NaN,"EIN KAEFER AUF DEM ZAUNE SASS
",NaN,NaN,NaN,folksongs,deut0845.krn
songs,NaN,"ES BLIES EIN JAEGER WOL IN SEIN HORN
",NaN,NaN,NaN,folksongs,deut0599.krn
songs,NaN,"HOLDE NACHT DEIN DUNKLER SCHLEIER
",NaN,NaN,NaN,folksongs,deut1744.krn
