piece_id,gamma,g_obs,shuff_g_mean,shuff_g_var,shuff_g_std,Z_g
13,2,0.13941525852104508,-0.0006303339805380996,6.586582189325318e-05,0.008115776111577572,17.25597041813425
13,3,0.006898161368426692,-0.0006350588556236788,6.962051135332844e-05,0.008343890660437038,0.9028426342844471
13,4,0.04719494930936641,-0.00022060027054225754,8.716879307626047e-05,0.009336422927238273,5.078556311066154
13,5,0.01174545938070859,-0.0012994746616750601,9.726886744207722e-05,0.009862498032551247,1.3226805216415505
13,6,0.00707660067457927,7.28872828559135e-05,0.00014022201077836826,0.011841537517500346,0.5914530424256752
13,7,0.008683090883372824,-0.0003067502179199851,0.0001720284608490611,0.013115962063419561,0.6854122524771165
13,8,0.006081419823144252,-0.002761761147117398,0.00028007761032971466,0.016735519422166577,0.5284079177458129
13,9,0.009898036970211521,-0.0019030819118353345,0.0005068477513709034,0.022513279445049834,0.5241847999466669
13,10,0.006896426906670805,-0.0009601442116993734,0.0007893718711238201,0.02809576251187748,0.2796354473401038
14,1,0.3021689115650722,-1.0898036628557891e-05,4.461162572178365e-05,0.006679193493363076,45.24196071007199
14,2,0.056379083737843616,-6.950584778795362e-05,5.182064251968118e-05,0.007198655605019675,7.841546072334612
14,3,0.008772886183415096,0.00012507777825107998,6.072086309765264e-05,0.007792359276730805,1.109780503959528
14,4,0.019286194640046328,0.0004161634807667458,5.588306860956069e-05,0.007475497883723912,2.524250752630739
14,5,0.0120699769301148,-0.0013142377847961894,7.720314973644593e-05,0.008786532293029255,1.5232647270333577
14,6,0.009172632634569244,-0.000117836584096442,9.948291472751062e-05,0.009974112227537378,0.9314582598154219
14,7,0.0027598453431495473,-0.0001799624114556786,0.00013484242296324316,0.011612167022706966,0.2531661617385102
14,8,-0.0020817136543829218,-0.001206508522871382,0.0001795690216221481,0.01340033662346391,-0.06531217506723382
14,9,-0.0014924684144799194,-0.0006004004379711218,0.0002539554373897576,0.01593597933575962,-0.055978233763584094
14,10,-0.008163459838594234,-0.0022228723379673935,0.0004037978130239718,0.020094721023790597,-0.29562925972416554
15,1,0.293448874544629,0.00017138061169938174,6.832129273747812e-06,0.002613834209307815,112.20202600783703
15,2,0.02595169830747024,-9.504744784047133e-05,8.098435221971856e-06,0.002845774977395763,9.15277770104884
15,3,0.012765695368193386,2.3264827739946463e-05,9.07354960587917e-06,0.0030122333252719934,4.23022693280337
15,4,0.009705607393019955,7.230715126096373e-05,1.0119794199498398e-05,0.003181162397536221,3.0282327771822923
