piece_id,tau,S_obs,shuff_S_mean,shuff_S_var,shuff_S_std,Z_S
10,6,0.5797385502746486,0.9877055386928539,6.3345042275354615e-06,0.002516844100761003,-162.09465985392214
10,7,0.5947377553536962,0.9876299203704288,6.732284517891885e-06,0.002594664625320946,-151.42310153788526
10,8,0.5713713213987401,0.9874097809121345,7.380853901485939e-06,0.0027167726996357167,-153.1370142114501
10,9,0.5826330240605329,0.9874244484643081,6.155995381634867e-06,0.0024811278446776716,-163.1481526726256
10,10,0.5794665958874333,0.9873180105903009,7.54988479517328e-06,0.002747705369062207,-148.4334598953262
11,1,0.7490033960518633,0.8136545418072371,0.0001767816403646064,0.013295925705440987,-4.862477964126793
11,2,0.7735675522663589,0.9634353097361747,8.547192234214076e-05,0.009245102613932457,-20.537117368895764
11,3,0.8162259663468665,0.9688437645666113,7.513930938262518e-05,0.00866829333736608,-17.606441346632913
11,4,0.8105061268262491,0.9690947366034925,5.8765876291422194e-05,0.0076658904434789696,-20.687565384155427
11,5,0.822814793139286,0.969845703607413,5.984399804784946e-05,0.007735890255675132,-19.0063335451616
11,6,0.8208697159277344,0.9690836342907787,7.021366936389794e-05,0.008379359722788964,-17.687976559826364
11,7,0.8226436970835043,0.9695777578970223,7.867913092033022e-05,0.008870125755609682,-16.56504821485686
11,8,0.8052541537168483,0.9699829942519104,6.804120966658492e-05,0.008248709575841843,-19.970255834622506
11,9,0.831150940829403,0.9687367883222877,7.193831962787141e-05,0.008481646044717465,-16.221597407802214
11,10,0.8254619844757033,0.969915227563492,6.238155152848475e-05,0.007898199258595895,-18.28938956314315
12,1,0.6039483386505181,0.8375173248087958,2.7539970530530106e-05,0.00524785389759758,-44.50752454545342
12,2,0.5249933197191453,0.981493540148727,8.334720061057753e-06,0.0028869915242441834,-158.12315921124633
12,3,0.6094820084077949,0.9854206284961993,5.661597662740009e-06,0.002379411200852011,-157.99649087715048
12,4,0.5302619570955232,0.9849956802714811,6.0161504142760235e-06,0.0024527842168189243,-185.3949157279368
12,5,0.5991201638195693,0.9854895906671112,5.768381356596475e-06,0.00240174548122745,-160.87026284320586
12,6,0.5589177284174074,0.9858541405548683,5.0404262377071525e-06,0.0022450893607398243,-190.1645518451758
12,7,0.5910763323819059,0.985939993801973,4.6924942279275645e-06,0.002166216569950374,-182.2826336468809
12,8,0.5549369424685762,0.985632605100615,5.610028904896884e-06,0.0023685499582860575,-181.83938283645116
12,9,0.5855963561586814,0.9858194231874182,5.656467346915561e-06,0.002378332892367164,-168.27882602691216
12,10,0.5727048506338008,0.9859375589016929,5.393709954247868e-06,0.0023224362110180483,-177.9307032449128
13,1,0.8149998077165763,0.8388853431569466,0.00016118795293812026,0.012695981763460448,-1.8813460735359475
13,2,0.5553793896631688,0.9754346377877353,4.545331657511234e-05,0.006741907487878512,-62.305104138524165
13,3,0.8235978881525824,0.979062339066694,3.431058922402076e-05,0.005857524154796185,-26.540983324296867
13,4,0.5854860963234,0.9791320752307335,3.261870132257688e-05,0.005711278431540252,-68.92431941917648
13,5,0.8102277060461532,0.9792739192219105,3.9453692939940254e-05,0.006281217472746845,-26.912969326284376
13,6,0.6765468075116927,0.9792928939774534,3.384135942312047e-05,0.005817332672550236,-52.04207899168352
13,7,0.8076715149073911,0.9795919413030864,3.965853865923981e-05,0.0062975025731824685,-27.299778665880652
13,8,0.6696404589714511,0.9793105789098221,3.220098171722563e-05,0.00567459088544942,-54.57135610118007
13,9,0.8011257203737959,0.9795330244332039,2.925756439745224e-05,0.005409026196779993,-32.98325753452891
13,10,0.701321078503703,0.980016367975929,3.259517347025931e-05,0.00570921828889554,-48.8149647411958
14,1,0.7640862057576254,0.8349698084959094,9.583342060577799e-05,0.009789454561198903,-7.2408122735699125
14,2,0.7860919009320175,0.9776154864943417,2.350507881344794e-05,0.004848203668725968,-39.50403049231914
14,3,0.8093479711255324,0.9813320518572649,1.8591883011767575e-05,0.004311830587090311,-39.88655798459605
14,4,0.7907039439005676,0.9808371652687975,2.232303161350346e-05,0.004724725559596394,-40.24217258123069
14,5,0.8074692697947522,0.9811872362762278,2.4528971487746825e-05,0.004952673165851632,-35.07559668569491
14,6,0.7908745373737521,0.9821451629357345,1.645625371383811e-05,0.004056630832826437,-47.15011876708425
14,7,0.8026538042609561,0.981180492696422,2.3794310761279448e-05,0.004877941242089684,-36.59877796293136
14,8,0.7989083514269645,0.9813578347693438,2.21369341474086e-05,0.004704990345091964,-38.777865619363595
14,9,0.7950346742051936,0.9814994767874768,1.87765992319539e-05,0.0043331973451429485,-43.031689473199364
14,10,0.8051246699227852,0.9814899440416653,2.163244563438844e-05,0.004651069300105992,-37.919296131507004
15,1,0.6842726450424625,0.8257532075906333,3.102641662832556e-05,0.00557013614091483,-25.3998392443123
15,2,0.7090470962348588,0.977589929364954,1.135035021307268e-05,0.003369028081371938,-79.70928904241694
15,3,0.7326642206945267,0.9818357902736259,9.083788841101828e-06,0.0030139324546349456,-82.67324279146109
15,4,0.7215920907932629,0.9811676093799273,9.948094948990489e-06,0.0031540600737764157,-82.29885053389923
15,5,0.7392409915441059,0.9816328613578196,9.186991725477532e-06,0.0030310050685337913,-79.97078999639136
15,6,0.7335367656893136,0.9816434915247767,8.50365504902997e-06,0.002916102715788655,-85.08161406391443
15,7,0.739054038578979,0.9820476303604612,7.394159193503506e-06,0.002719220328238134,-89.36149427028046
15,8,0.7141447478237136,0.9819568742366797,8.269660481867632e-06,0.002875701737292592,-93.12931273084847
15,9,0.7380025557786508,0.9819168073478564,8.640542815657096e-06,0.002939480024707958,-82.97870695462161
15,10,0.7400243153027181,0.9818794443306914,9.6781701800376e-06,0.00311097576011733,-77.7425308575377
16,1,0.6094930696978141,0.8289006065313952,0.00013323795485822103,0.011542874635818455,-19.00804987977103
16,2,0.6377747300450735,0.9730180221499181,4.5179128940433995e-05,0.006721542154925013,-49.875948759646604
16,3,0.6470907506119882,0.9766335606816847,3.618448654484448e-05,0.00601535423269856,-54.78360829996535
16,4,0.6475956555204117,0.9770546135373812,3.89853968347655e-05,0.006243828699985731,-52.765534393620136
16,5,0.6468834278789072,0.9761527679570675,4.2528897164712676e-05,0.006521418339955862,-50.490448996466135
16,6,0.6358440786051683,0.976828154778398,3.61984282158207e-05,0.006016512961493617,-56.674701501611885
16,7,0.6391778443989499,0.9771179451957767,3.934988589784014e-05,0.006272948740252876,-53.87260677395615
16,8,0.6398971342935266,0.9764628321133205,4.1157673960953404e-05,0.0064154246906150654,-52.46195132056432
16,9,0.639836392765955,0.9771011371898969,2.9764616223956897e-05,0.005455695759841901,-61.81883288039422
16,10,0.6411902066223493,0.976651831984843,3.8274057570305355e-05,0.006186603071985899,-54.223880449277075
17,1,0.678362690911484,0.8189271142319529,0.00017476315817183374,0.013219801744800629,-10.632869239189086
17,2,0.6168326137464956,0.9678676201512045,8.13422625194977e-05,0.00901899454038518,-38.921745082874516
17,3,0.6919013596643154,0.9734494874563834,4.8557604715751306e-05,0.006968328688842921,-40.40396777535167
17,4,0.6282588020735634,0.9721859623961293,6.845606521321196e-05,0.008273818055360654,-41.56813190975761
17,5,0.6763578321613035,0.9727541585816706,5.911957590130211e-05,0.00768892553620479,-38.548471437878774
17,6,0.6530726779497653,0.973366133526014,6.402179710670847e-05,0.008001362203194433,-40.029865845640124
