piece_id,d,C_obs,shuff_C_mean,shuff_C_var,shuff_C_std,Z_C
2,10,0.023334233920085858,0.0002108448095819936,3.6808836808679995e-10,1.918562920747714e-05,1205.2452833546931
2,11,0.01857109602654269,9.054013080009811e-05,1.35781030556994e-10,1.16525117703006e-05,1585.9718711329697
3,0,1.0,1.0,0.0,0.0,
3,1,0.5622842209954179,0.5625816429849516,3.663627406804155e-07,0.0006052790601701132,-0.4913799420884682
3,2,0.36068752932618803,0.3165920660827997,2.5537638356850042e-06,0.001598050010382968,27.59329367472108
3,3,0.24020510932353886,0.17821828188013883,4.1465121344505396e-06,0.002036298635871109,30.44093157626787
3,4,0.15915639361413134,0.10033102016594038,3.884523755134862e-06,0.0019709195202074745,29.846664384347125
3,5,0.10594650903302719,0.0564686996496947,2.692434881013162e-06,0.0016408640653671352,30.153509012498287
3,6,0.07000523100617169,0.031801350482651966,1.5751128265231787e-06,0.0012550349901589114,30.44049036328651
3,7,0.04622054191427885,0.017906608205121292,8.486973662352081e-07,0.0009212477225129015,30.734332381224462
3,8,0.030574220793361785,0.010082257759138721,4.188389452687365e-07,0.0006471776767385727,31.66358137921495
3,9,0.020541914278850795,0.00567566564366446,1.973549514824251e-07,0.00044424649855955543,33.46396355039222
3,10,0.014060854786819661,0.003196824277855482,9.232705026134628e-08,0.0003038536658678751,35.75415316426754
3,11,0.0095716187606781,0.0018016378512313827,4.220110426955802e-08,0.0002054290735742096,37.82318040119027
4,0,1.0,1.0,0.0,0.0,
4,1,0.5234000065451014,0.5238853476328221,8.289483881467844e-08,0.0002879146380694779,-1.6857117476728374
4,2,0.3546737033185668,0.2744750496949071,1.034492709858906e-06,0.0010171001474087525,78.85030183898836
4,3,0.2552958218877542,0.14379100823280264,1.3537864402126e-06,0.0011635232873529434,95.83376187392771
4,4,0.18625555415303383,0.07529591227248815,1.0219136337797977e-06,0.0010108974397928792,109.7635007397783
4,5,0.13887943856387117,0.03943787106996155,5.849714410891166e-07,0.0007648342572669693,130.0171462628393
