b,PPn,RRn,TTn,PR,RT,PT,TPn
316,724.1,723.309,722.37,128,334,462,1185.828
317,723.05,723.655,723.185,126,334,460,1184.914
318,723.525,722.827,723.593,128,334,462,1185.457
319,725.762,725.414,725.796,126,336,462,1187.729
320,727.881,728.707,728.898,126,336,462,1190.864
321,733.941,735.353,735.449,128,336,464,1198.432
322,744.97,744.677,744.725,130,336,466,1209.216
323,756,753.338,755.362,128,336,464,1220
324,762,762,766,128,340,468,1230
325,772,768,770,124,342,466,1238
326,772,774,772,126,340,466,1238
327,782,782,782,126,340,466,1248
328,790,790,790,126,340,466,1256
329,796,796,800,126,344,470,1266
330,800,800,798,126,342,468,1268
331,800,800,800,126,342,468,1268
332,806,808,804,128,338,466,1272
333,812,810,816,126,344,470,1282
334,818,818,816,126,342,468,1286
335,812,810,810,124,342,466,1278
336,804,808,806,128,340,468,1272
337,814,814,814,128,340,468,1282
338,818,816,820,126,344,470,1288
339,822,822,822,126,344,470,1292
340,820,818,818,124,344,468,1288
341,826,830,828,128,342,470,1296
342,832,832,832,128,342,470,1302
343,836,836,838,128,344,472,1308
344,828,828,828,128,344,472,1300
345,826,826,826,128,344,472,1298
346,832,832,830,128,342,470,1302
347,832,832,832,128,342,470,1302
348,832,832,834,128,344,472,1304
349,826,824,824,126,344,470,1296
350,828,828,826,126,342,468,1296
351,826,828,828,128,342,470,1296
352,830,828,830,126,344,470,1300
353,824,824,826,126,346,472,1296
354,816,814,812,124,344,468,1284
355,814,816,814,126,342,468,1282
356,810,810,810,126,342,468,1278
357,812,814,812,128,340,468,1280
358,812,810,814,126,344,470,1282
359,804,804,802,126,342,468,1272
360,808,810,808,128,340,468,1276
361,812,812,814,128,342,470,1282
362,818,816,818,126,344,470,1288
363,818,818,820,126,346,472,1290
364,816,816,814,126,344,470,1286
365,822,824,822,128,342,470,1292
366,826,824,826,126,344,470,1296
367,826,828,826,128,342,470,1296
368,828,826,830,126,346,472,1300
369,824,822,822,124,346,470,1294
370,822,824,822,126,344,470,1292
371,830,832,830,128,342,470,1300
372,832,830,834,126,346,472,1304
373,832,834,834,128,346,474,1306
374,830,828,828,126,346,472,1302
375,826,826,826,126,346,472,1298
376,828,828,826,126,344,470,1298
377,822,822,822,126,344,470,1292
378,820,820,822,126,346,472,1292
379,818,818,816,126,344,470,1288
380,820,818,820,124,346,470,1290
381,822,822,822,124,346,470,1292
382,824,826,826,126,346,472,1296
383,820,820,820,126,346,472,1292
384,824,824,824,126,346,472,1296
385,830,830,828,126,344,470,1300
386,832,834,834,128,344,472,1304
387,844,842,844,126,346,472,1316
388,836,838,838,128,346,474,1310
389,836,834,836,126,348,474,1310
390,834,834,834,126,348,474,1308
391,834,834,834,126,348,474,1308
392,836,838,834,128,344,472,1308
393,832,830,834,126,348,474,1306
394,828,826,828,124,350,474,1302
395,830,830,826,124,346,470,1300
396,824,826,828,126,348,474,1298
397,826,826,826,126,348,474,1300
398,822,820,820,124,348,472,1294
399,820,822,820,126,346,472,1292
400,822,820,820,124,346,470,1292
401,820,822,822,126,346,472,1292
402,824,822,824,124,348,472,1296
403,820,820,820,124,348,472,1292
404,822,822,822,124,348,472,1294
405,818,820,820,126,348,474,1292
406,818,818,814,126,344,470,1288
407,818,818,822,126,348,474,1292
408,814,812,810,124,346,470,1284
409,814,816,814,126,344,470,1284
410,812,814,814,128,344,472,1284
411,816,816,816,128,344,472,1288
412,816,816,818,128,346,474,1290
413,812,810,812,126,348,474,1286
414,814,814,812,126,346,472,1286
415,814,814,812,126,344,470,1284
416,814,814,814,126,344,470,1284
417,816,816,818,126,346,472,1288
418,812,812,814,126,348,474,1286
419,818,818,816,126,346,472,1290
420,816,816,816,126,346,472,1288
421,816,820,818,130,344,474,1290
422,818,814,818,126,348,474,1292
423,820,820,818,126,346,472,1292
424,822,822,824,126,348,474,1296
425,824,824,824,126,348,474,1298
426,826,826,826,126,348,474,1300
427,822,822,822,126,348,474,1296
428,828,828,828,126,348,474,1302
429,824,822,824,124,350,474,1298
430,824,828,822,128,344,472,1296
431,826,824,828,126,348,474,1300
432,816,814,816,124,350,474,1290
433,820,820,816,124,346,470,1290
434,814,816,816,126,346,472,1286
435,818,816,816,124,346,470,1288
436,814,814,816,124,348,472,1286
437,810,812,808,126,344,470,1280
438,812,812,814,126,346,472,1284
439,814,814,814,126,346,472,1286
440,818,816,818,124,348,472,1290
441,808,808,808,124,348,472,1280
442,814,818,814,128,344,472,1286
