b,PPn,RRn,TTn,PR,RT,PT,TPn
6551,700,702,702,128,314,442,1142
6552,710,708,708,126,314,440,1150
6553,706,706,706,126,314,440,1146
6554,690,696,694,132,312,444,1134
6555,684,688,694,136,318,454,1138
6556,692,686,682,130,314,444,1136
6557,692,686,682,124,310,434,1126
6558,686,690,692,128,312,440,1126
6559,694,694,696,128,314,442,1136
6560,694,696,696,130,314,444,1138
6561,684,682,680,128,312,440,1124
6562,684,684,686,128,314,442,1126
6563,686,688,686,130,312,442,1128
6564,694,692,692,128,312,440,1134
6565,690,692,692,130,312,442,1132
6566,686,684,688,128,316,444,1130
6567,680,680,678,128,314,442,1122
6568,690,692,690,130,312,442,1132
6569,696,692,696,126,316,442,1138
6570,702,702,698,126,312,438,1140
6571,690,694,696,130,314,444,1134
6572,680,684,684,134,314,448,1128
6573,702,692,692,124,314,438,1140
6574,698,700,698,126,312,438,1136
6575,708,708,710,126,314,440,1148
6576,692,700,700,134,314,448,1140
6577,698,690,690,126,314,440,1138
6578,696,698,698,128,314,442,1138
6579,706,706,704,128,312,440,1146
6580,706,706,704,128,310,438,1144
6581,696,696,698,128,312,440,1136
6582,686,686,686,128,312,440,1126
6583,686,690,690,132,312,444,1130
6584,694,690,692,128,314,442,1136
6585,708,704,702,124,312,436,1144
6586,700,700,700,124,312,436,1136
6587,702,706,706,128,312,440,1142
6588,696,698,698,130,312,442,1138
6589,704,698,700,124,314,438,1142
6590,690,698,696,132,312,444,1134
6591,708,704,704,128,312,440,1148
6592,704,706,706,130,312,442,1146
6593,696,696,698,130,314,444,1140
6594,700,694,694,124,314,438,1138
6595,696,700,698,128,312,440,1136
6596,696,698,700,130,314,444,1140
6597,704,698,696,124,312,436,1140
6598,694,696,696,126,312,438,1132
6599,680,686,686,132,312,444,1124
6600,682,678,678,128,312,440,1122
6601,684,682,682,126,312,438,1122
6602,685,686,686,127,312,439,1124
6603,683,692,692,136,312,448,1131
6604,698,690,690,128,312,440,1138
6605,682,682,684,128,314,442,1124
6606,684,684,686,128,316,444,1128
6607,680,684,680,132,312,444,1124
6608,636,684,686,131,314,444,1130
6609,744,694,694,130,314,444,1188
6610,696,694,694,128,314,442,1138
6611,686,688,690,130,316,446,1132
6612,698,702,700,134,314,448,1146
6613,710,706,706,130,314,444,1154
6614,710,704,704,124,314,438,1148
6615,700,700,700,124,314,438,1138
6616,678,682,684,128,316,444,1122
6617,692,690,686,126,312,438,1130
6618,686,684,686,124,314,438,1124
6619,688,690,688,126,312,438,1126
6620,692,690,688,124,310,434,1126
6621,680,684,688,128,314,442,1122
6622,682,684,686,130,316,446,1128
6623,698,696,692,128,312,440,1138
6624,710,708,712,126,316,442,1152
6625,732,732,732,126,316,442,1174
6626,708,714,716,132,318,450,1158
6627,732,726,726,126,318,444,1176
6628,750,752,750,128,316,444,1194
6629,768,766,768,126,318,444,1212
6630,782,780,782,124,320,444,1226
6631,730,742,742,136,320,456,1186
6632,724,730,726,142,316,458,1182
6633,742,730,732,130,318,448,1190
6634,738,736,734,128,316,444,1182
6635,730,730,730,128,316,444,1174
6636,700,716,718,128,318,462,1162
6637,722,706,702,128,314,442,1164
6638,714,714,718,128,318,446,1160
6639,720,720,718,128,316,444,1164
6640,722,720,718,126,314,440,1162
6641,722,726,730,130,318,448,1170
6642,702,702,700,130,316,446,1148
6643,716,712,714,126,318,444,1160
6644,714,716,712,128,314,442,1156
6645,718,716,716,126,314,440,1158
6646,692,696,698,130,316,446,1138
6647,696,694,692,128,314,442,1138
6648,710,714,716,132,316,448,1158
6649,714,712,712,130,316,446,1160
6650,720,718,720,128,318,446,1166
6651,714,710,710,124,318,442,1156
6652,694,698,696,128,316,444,1138
6653,694,696,694,130,314,444,1138
6654,708,706,708,128,316,444,1152
6655,716,712,712,124,316,440,1156
6656,714,718,720,128,318,446,1160
6657,724,734,734,138,318,456,1180
6658,730,720,718,128,316,444,1174
6659,706,706,708,128,318,446,1152
6660,724,722,720,126,316,442,1166
6661,726,728,730,128,318,446,1172
6662,758,756,756,126,318,444,1202
6663,742,744,744,128,318,446,1188
6664,734,734,736,128,320,448,1182
6665,748,748,746,128,318,446,1194
6666,742,742,744,128,320,448,1190
6667,750,752,750,130,318,448,1198
6668,730,730,730,130,318,448,1178
6669,706,710,710,134,318,452,1158
6670,720,716,716,130,318,448,1168
6671,712,714,712,132,316,448,1160
6672,720,718,718,130,316,446,1166
6673,714,714,718,130,320,450,1164
6674,698,700,694,132,314,446,1144
6675,714,710,712,128,316,444,1158
6676,706,706,706,128,316,444,1150
6677,646,698,698,127,316,440,1142
6678,756,702,696,126,310,436,1192
6679,712,712,720,126,318,444,1156
6680,696,698,704,128,324,452,1148
6681,676,680,676,132,320,452,1128
6682,682,676,674,126,318,444,1126
6683,658,660,660,128,318,446,1104
6684,652,648,648,124,318,442,1094
6685,636,642,642,130,318,448,1084
6686,592,634,622,139,306,478,1070
6687,654,630,638,136.5,314,462,1116
6688,636,622,622,134,314,448,1084
6689,620,620,620,134,314,448,1068
6690,604,612,610,142,312,454,1058
6691,588,612,616,148,316,482,1070
6692,624,612,610,151,314,468,1092
6693,606,606,612,142.5,320,474,1080
6694,628,608,610,134,322,456,1084
6695,596,606,604,139,320,464,1060
6696,596,596,596,141.5,320,464,1060
6697,600,600,598,149.75,318,462,1062
6698,590,604,614,114.375,328,433.5,1076
6699,685,606,604,121.188,326,443.75,1090
6700,567,616,616,128,326,454,1021
