b,PPn,RRn,TTn,PR,RT,PT,TPn
154,932.044,929.509,927.712,144,389,533,1458.376
155,924.522,925.754,925.356,144,386.5,530.5,1451.688
156,923.261,921.377,918.178,144,382.25,528,1445.344
157,922.63,924.689,920.089,144.5,377.125,522.5,1442.172
158,925.315,925.844,926.544,145,377.562,522.25,1446.086
159,929.158,929.922,930.272,144,377.781,522.625,1451.043
160,931.579,931.461,926.136,145,372.391,516.812,1448.022
161,935.289,935.231,938.068,144,375.195,519.406,1454.511
162,942.645,939.615,941.034,144,376.598,517.703,1460.255
163,946.322,944.808,945.517,141,377.299,516.852,1463.128
164,948.161,947.404,953.259,139.5,383.149,521.926,1470.064
165,954.581,954.702,951.629,139.25,389,527,1473.532
166,957.79,960.351,956.315,141.625,380.5,521.5,1475.266
167,964.895,963.675,961.657,144,376.25,516.25,1479.133
168,973.948,976.338,975.329,144.5,374.125,516.625,1489.566
169,978.974,977.169,976.664,145,373.062,513.812,1492.283
170,980.987,980.084,979.832,142,372.531,512.406,1493.142
171,976.493,979.042,973.416,143.5,366.766,509.203,1485.571
172,971.747,972.521,975.708,145,369.883,513.102,1484.785
173,971.873,969.761,970.854,144,370.941,512.051,1483.893
174,969.437,970.88,977.427,144,377.471,520.025,1489.446
175,962.218,963.44,960.714,144,374.735,528,1480.723
176,961.609,962.22,960.857,145,373.368,522.5,1479.362
177,961.805,961.61,958.428,145,370.184,516.75,1476.181
178,952.902,955.805,945.714,144,360.092,508.375,1460.09
179,959.951,958.403,961.857,150,363.546,509.688,1469.045
180,960.476,962.701,944.929,144,345.773,493.844,1454.023
181,888.238,947.851,947.464,150,345.386,552.922,1441.011
182,963.619,948.925,945.732,164,342.193,534.961,1498.506
183,1039,952.463,958.866,174,348.597,536.98,1493.753
184,1022.5,959.231,943.433,159,332.798,539,1480.376
185,991.75,963.116,974.717,144,344.399,522.5,1473.688
186,892.875,962.058,962.358,150,344.7,592.25,1464.844
187,1013.438,961.529,956.179,147,339.35,535.125,1538.422
188,1134,961.264,966.59,144,344.675,564.562,1612
189,1089,955.632,961.295,147,350.337,535.281,1581
190,1044,958.316,964.147,150,356.169,523.641,1527
191,986,962.658,951.074,150,344.584,522.82,1488.5
192,968,956.329,956.537,169.5,344.792,528.41,1486.25
193,969.8,961.665,966.768,176.95,349.896,534,1498.625
194,962.4,958.332,958.384,180.675,349.948,539.4,1494.012
195,973.4,954.166,948.692,165.337,344.474,534.4,1483.706
196,931.2,941.083,949.346,150,352.737,542.2,1461.353
197,929.6,951.042,955.173,186,356.869,550,1486.177
198,956.3,950.521,950.087,187.5,356.434,547.5,1507.088
199,961.65,953.26,958.043,182.75,361.217,545,1509.044
200,922.325,954.13,948.522,216.375,355.609,544,1496.022
201,972.662,957.565,960.761,202.188,358.804,547,1534.511
202,966.831,956.783,955.38,192.594,357.402,550,1517.256
203,960.916,953.391,952.69,185.297,356.701,539,1503.128
204,955.458,954.696,953.845,184.648,355.851,534,1496.064
205,972.229,954.848,957.423,167.324,358.425,539,1498.032
206,972.114,960.924,956.711,150,354.213,517,1482.516
207,975.057,969.462,972.856,145,357.606,511.5,1483.258
208,976.529,973.231,977.928,145,362.303,511.25,1486.129
209,957.764,975.615,972.464,144,359.152,525.125,1482.064
210,984.382,976.808,969.232,147,351.576,539,1493.532
211,972.691,979.904,979.116,150,350.788,530.5,1488.266
212,977.846,984.452,981.558,164,347.894,526.75,1497.133
213,991.923,981.226,987.779,157,354.447,518.875,1507.067
214,990.461,982.113,979.889,150,352.223,506.438,1495.033
215,967.231,983.056,981.945,144,351.112,520.219,1486.517
216,992.115,980.028,982.472,144,353.556,534,1501.758
217,982.058,976.514,977.236,144,354.278,517,1486.879
218,960.529,974.257,977.618,145,357.639,528,1482.44
