measure,obs,mu_null,sigma_null,Z,absZ,experiment,transform,rep,N
PE,0.9425020299581388,0.9467096266794326,0.0025210071560382145,-1.6690141918938695,1.6690141918938695,static_transform_control,static_tanh,5,4000
S_theta,0.7016827892737046,0.7016056634452554,0.00792924127822941,0.009726760195955527,0.009726760195955527,static_transform_control,static_tanh,5,4000
gamma_R,0.2555660689913697,0.2533914439881279,0.00159667657137316,1.3619696325672137,1.3619696325672137,static_transform_control,static_tanh,5,4000
PE,0.9456419002245762,0.9468823050856746,0.0022576981255465847,-0.5494112995279842,0.5494112995279842,static_transform_control,linear_AR1_original,6,4000
S_theta,0.7205218290251344,0.716642373087409,0.0077207826474147406,0.5024692592563064,0.5024692592563064,static_transform_control,linear_AR1_original,6,4000
gamma_R,0.25708145541319993,0.2570209767586459,0.0044405614228311815,0.013619596441815008,0.013619596441815008,static_transform_control,linear_AR1_original,6,4000
PE,0.9787328085851251,0.9740635670472078,0.0023607012475297356,1.9779044649564679,1.9779044649564679,static_transform_control,static_square,6,4000
S_theta,0.7188013669815644,0.7062393280902556,0.009170268737374233,1.369865949523498,1.369865949523498,static_transform_control,static_square,6,4000
gamma_R,0.10513136057092076,0.12094981322202294,0.0066272708536821824,-2.38687281693237,2.38687281693237,static_transform_control,static_square,6,4000
PE,0.9456419002245762,0.9483842251009557,0.0037493335778944403,-0.7314166156214696,0.7314166156214696,static_transform_control,static_exp,6,4000
S_theta,0.6636196957012166,0.6634938397451721,0.008883723786991435,0.014167027145623557,0.014167027145623557,static_transform_control,static_exp,6,4000
gamma_R,0.25708145541319993,0.2667367743868149,0.007549825890796026,-1.2788796871972592,1.2788796871972592,static_transform_control,static_exp,6,4000
PE,0.9456419002245762,0.9485052897317598,0.0025825293967363114,-1.1087538871008809,1.1087538871008809,static_transform_control,static_tanh,6,4000
S_theta,0.7002724269491916,0.7058951563852179,0.007390877037613959,-0.7607661996554598,0.7607661996554598,static_transform_control,static_tanh,6,4000
gamma_R,0.25708145541319993,0.2580070376125534,0.0013498345096903952,-0.685700500845659,0.685700500845659,static_transform_control,static_tanh,6,4000
PE,0.950394756064854,0.9501859486552643,0.0022957271234931207,0.09095480357962249,0.09095480357962249,static_transform_control,linear_AR1_original,7,4000
S_theta,0.7276230026293328,0.7224398127432349,0.007222704503500205,0.717624524661927,0.717624524661927,static_transform_control,linear_AR1_original,7,4000
gamma_R,0.2568859732394384,0.2540428151921992,0.0037353883226368223,0.7611412259361111,0.7611412259361111,static_transform_control,linear_AR1_original,7,4000
PE,0.9824495604559293,0.9712803365502544,0.002532911976608244,4.40963760636933,4.40963760636933,static_transform_control,static_square,7,4000
S_theta,0.7075783523960943,0.6939862649992011,0.00923777651530734,1.4713591928069076,1.4713591928069076,static_transform_control,static_square,7,4000
gamma_R,0.09754541460779598,0.12708750408244948,0.007411984954692108,-3.9857190287403483,3.9857190287403483,static_transform_control,static_square,7,4000
PE,0.950394756064854,0.9503556939580649,0.0032019395530806447,0.012199514119991694,0.012199514119991694,static_transform_control,static_exp,7,4000
S_theta,0.6572261503521281,0.6661355956928177,0.01093235691691708,-0.8149610745787893,0.8149610745787893,static_transform_control,static_exp,7,4000
gamma_R,0.2568859732394384,0.26436077155660753,0.00843673390730984,-0.8859824665908616,0.8859824665908616,static_transform_control,static_exp,7,4000
PE,0.950394756064854,0.9530377554675268,0.002968742944017553,-0.8902755989698569,0.8902755989698569,static_transform_control,static_tanh,7,4000
S_theta,0.7247293744094784,0.7130034526944752,0.006724724642904802,1.7437028782100563,1.7437028782100563,static_transform_control,static_tanh,7,4000
gamma_R,0.2568859732394384,0.25541135482185057,0.0013821811435947705,1.0668778288731788,1.0668778288731788,static_transform_control,static_tanh,7,4000
