measure,obs,mu_null,sigma_null,Z,absZ,experiment,lambda,rep,N
gamma_R,0.181748025446124,0.1723387918535429,0.0038178172311680936,2.46455841724573,2.46455841724573,nonlinear_ar1_sweep,0.15,10,4000
PE,0.9613209685162752,0.9589810600086109,0.001887746855972012,1.239524515833172,1.239524515833172,nonlinear_ar1_sweep,0.15,11,4000
S_theta,0.7654223409964376,0.7627707512271843,0.0062442211718659775,0.42464699700265424,0.42464699700265424,nonlinear_ar1_sweep,0.15,11,4000
gamma_R,0.1751223592480401,0.1659820536555884,0.003939282683428163,2.3202969492144523,2.3202969492144523,nonlinear_ar1_sweep,0.15,11,4000
PE,0.9610252084587557,0.9613891932398111,0.0017905503186231417,-0.20328095629016446,0.20328095629016446,nonlinear_ar1_sweep,0.15,12,4000
S_theta,0.7664894257044922,0.7627443178225866,0.006980775812023297,0.5364887775732986,0.5364887775732986,nonlinear_ar1_sweep,0.15,12,4000
gamma_R,0.18495597792526763,0.16997862194432922,0.0038103609813213207,3.9306921455364856,3.9306921455364856,nonlinear_ar1_sweep,0.15,12,4000
PE,0.9597509579013805,0.9619955081102408,0.0021571586896699264,-1.0405123274466748,1.0405123274466748,nonlinear_ar1_sweep,0.15,13,4000
S_theta,0.7720269933941682,0.7693879171387286,0.007103107515089728,0.37153826685479224,0.37153826685479224,nonlinear_ar1_sweep,0.15,13,4000
gamma_R,0.17966293785257204,0.1682818101596191,0.0038675964176810946,2.9426875154095704,2.9426875154095704,nonlinear_ar1_sweep,0.15,13,4000
PE,0.956282617510571,0.9571188224809533,0.002314669734964245,-0.3612631891932516,0.3612631891932516,nonlinear_ar1_sweep,0.15,14,4000
S_theta,0.753496782646274,0.7539385721807496,0.007228019974513799,-0.06112179214132818,0.06112179214132818,nonlinear_ar1_sweep,0.15,14,4000
gamma_R,0.18566133922981487,0.17597178098864746,0.0037298610376597864,2.5978335769975205,2.5978335769975205,nonlinear_ar1_sweep,0.15,14,4000
PE,0.9586400576446238,0.9602352757090524,0.002394354384050552,-0.6662414198394446,0.6662414198394446,nonlinear_ar1_sweep,0.15,15,4000
S_theta,0.7609883545754964,0.7622998276345945,0.006325125878514823,-0.2073433927303924,0.2073433927303924,nonlinear_ar1_sweep,0.15,15,4000
gamma_R,0.18665643941999976,0.1722435140126281,0.0038322861349394536,3.760921001166153,3.760921001166153,nonlinear_ar1_sweep,0.15,15,4000
PE,0.9610583397889321,0.9601578153524757,0.002131654073389871,0.4224533650642115,0.4224533650642115,nonlinear_ar1_sweep,0.15,16,4000
S_theta,0.7743715860099855,0.7620456755544478,0.0067163667404987835,1.835205094030093,1.835205094030093,nonlinear_ar1_sweep,0.15,16,4000
gamma_R,0.18176105257306996,0.17140217793033927,0.0039296643688652814,2.6360710916698187,2.6360710916698187,nonlinear_ar1_sweep,0.15,16,4000
PE,0.9634221073055832,0.9627171689092715,0.001782373716829006,0.3955053811979674,0.3955053811979674,nonlinear_ar1_sweep,0.15,17,4000
S_theta,0.7785040482499099,0.7647148378259594,0.0059862936740656646,2.303463741461489,2.303463741461489,nonlinear_ar1_sweep,0.15,17,4000
gamma_R,0.17148273051198382,0.16440170027669868,0.0033461269881740396,2.116186940995092,2.116186940995092,nonlinear_ar1_sweep,0.15,17,4000
PE,0.9630034145095243,0.9643829969369254,0.0020392987125088043,-0.6764984545613245,0.6764984545613245,nonlinear_ar1_sweep,0.15,18,4000
S_theta,0.7614671733529828,0.76671249015738,0.006485146311283802,-0.8088201179471693,0.8088201179471693,nonlinear_ar1_sweep,0.15,18,4000
gamma_R,0.18226176279563422,0.16295341559337964,0.0033642085532983802,5.73934311632495,5.73934311632495,nonlinear_ar1_sweep,0.15,18,4000
PE,0.9620069386021002,0.9625265284068899,0.002060581235278227,-0.25215691373582994,0.25215691373582994,nonlinear_ar1_sweep,0.15,19,4000
S_theta,0.773840251813549,0.767556103927551,0.007328641362721712,0.857477883685681,0.857477883685681,nonlinear_ar1_sweep,0.15,19,4000
gamma_R,0.1755071768524017,0.16558184951675975,0.003663096720252032,2.7095455276318914,2.7095455276318914,nonlinear_ar1_sweep,0.15,19,4000
