representacion,shuffle,m,mPE_null
alturas_MIDI,51,7,5.575468760050559
alturas_MIDI,52,2,0.9174219487045618
alturas_MIDI,52,3,2.258371357973976
alturas_MIDI,52,4,3.775179061762106
alturas_MIDI,52,5,4.967863401885496
alturas_MIDI,52,6,5.42201839770259
alturas_MIDI,52,7,5.575468760050559
alturas_MIDI,53,2,0.9168964525098157
alturas_MIDI,53,3,2.2558552204441877
alturas_MIDI,53,4,3.775361679564552
alturas_MIDI,53,5,4.892487097671999
alturas_MIDI,53,6,5.399459194772315
alturas_MIDI,53,7,5.559950539590262
alturas_MIDI,54,2,0.9469878215884446
alturas_MIDI,54,3,2.345997655558788
alturas_MIDI,54,4,3.897476046551418
alturas_MIDI,54,5,5.0803901831794285
alturas_MIDI,54,6,5.471027124334626
alturas_MIDI,54,7,5.570296019897126
alturas_MIDI,55,2,0.9728680831118708
alturas_MIDI,55,3,2.3183382666836074
alturas_MIDI,55,4,3.8014941342635025
alturas_MIDI,55,5,4.942517478283392
alturas_MIDI,55,6,5.426914579457527
alturas_MIDI,55,7,5.559950539590261
alturas_MIDI,56,2,0.9527283173345189
alturas_MIDI,56,3,2.3182683814132705
alturas_MIDI,56,4,3.8277592164434053
alturas_MIDI,56,5,4.9877141832935035
alturas_MIDI,56,6,5.434270579360598
alturas_MIDI,56,7,5.557998121143379
alturas_MIDI,57,2,0.9579498085971289
alturas_MIDI,57,3,2.3222498664420597
alturas_MIDI,57,4,3.7929834571427854
alturas_MIDI,57,5,5.008236857120904
alturas_MIDI,57,6,5.466454833042048
alturas_MIDI,57,7,5.580641500203991
alturas_MIDI,58,2,0.9237765523573198
alturas_MIDI,58,3,2.3131385896839394
alturas_MIDI,58,4,3.8486048872177667
alturas_MIDI,58,5,5.009826035450779
alturas_MIDI,58,6,5.447785950883257
alturas_MIDI,58,7,5.549605059283396
alturas_MIDI,59,2,0.9577996636367276
alturas_MIDI,59,3,2.3401605763132474
alturas_MIDI,59,4,3.923341056998458
alturas_MIDI,59,5,5.124662039128743
alturas_MIDI,59,6,5.528978931196742
alturas_MIDI,59,7,5.580641500203991
alturas_MIDI,60,2,0.9358095662644469
alturas_MIDI,60,3,2.306579279308727
alturas_MIDI,60,4,3.8049147546694426
alturas_MIDI,60,5,4.950157953155617
alturas_MIDI,60,6,5.412393346951416
alturas_MIDI,60,7,5.565123279743693
