representacion,shuffle,m,mPE_null
alturas_MIDI,49,2,0.7660403772757443
alturas_MIDI,49,3,2.0051711663551046
alturas_MIDI,49,4,3.496310284469004
alturas_MIDI,49,5,4.971512578174499
alturas_MIDI,49,6,5.695873574487914
alturas_MIDI,49,7,5.841884312772621
alturas_MIDI,50,2,0.7564548212959079
alturas_MIDI,50,3,1.9862764334994818
alturas_MIDI,50,4,3.470114085335283
alturas_MIDI,50,5,4.9246964187241575
alturas_MIDI,50,6,5.684158410872816
alturas_MIDI,50,7,5.849716484304373
alturas_MIDI,51,2,0.7753173693672302
alturas_MIDI,51,3,2.014080957640262
alturas_MIDI,51,4,3.518413811511928
alturas_MIDI,51,5,4.961896901678192
alturas_MIDI,51,6,5.691451759188496
alturas_MIDI,51,7,5.849716484304373
alturas_MIDI,52,2,0.7664192182259069
alturas_MIDI,52,3,1.9857851663410875
alturas_MIDI,52,4,3.4595604474261146
alturas_MIDI,52,5,4.957921344380843
alturas_MIDI,52,6,5.689020643083271
alturas_MIDI,52,7,5.8497164843043725
alturas_MIDI,53,2,0.7843066737505413
alturas_MIDI,53,3,2.0199367389696747
alturas_MIDI,53,4,3.5129292918018944
alturas_MIDI,53,5,4.9391157169602335
alturas_MIDI,53,6,5.699261868265226
alturas_MIDI,53,7,5.848238382203343
alturas_MIDI,54,2,0.8157567070640672
alturas_MIDI,54,3,2.032106020914552
alturas_MIDI,54,4,3.5108973027719137
alturas_MIDI,54,5,4.9592728296097155
alturas_MIDI,54,6,5.707588738103012
alturas_MIDI,54,7,5.853632570070248
alturas_MIDI,55,2,0.7466060874798152
alturas_MIDI,55,3,1.9341200473074647
alturas_MIDI,55,4,3.435881237281202
alturas_MIDI,55,5,4.929147996720849
alturas_MIDI,55,6,5.657263446015289
alturas_MIDI,55,7,5.830136055474997
alturas_MIDI,56,2,0.7340943260432029
alturas_MIDI,56,3,1.92126171518154
alturas_MIDI,56,4,3.3897167420224945
alturas_MIDI,56,5,4.88243809155369
alturas_MIDI,56,6,5.679296178662364
alturas_MIDI,56,7,5.845800398538498
alturas_MIDI,57,2,0.7844971492215147
alturas_MIDI,57,3,2.0145527683240134
alturas_MIDI,57,4,3.497316999830552
alturas_MIDI,57,5,4.9345444526157936
alturas_MIDI,57,6,5.7300618876611225
alturas_MIDI,57,7,5.853632570070248
alturas_MIDI,58,2,0.8082944506031329
alturas_MIDI,58,3,2.063544650367401
alturas_MIDI,58,4,3.5904782747550392
alturas_MIDI,58,5,5.02885105553664
alturas_MIDI,58,6,5.738829174409942
alturas_MIDI,58,7,5.857548655836124
alturas_MIDI,59,2,0.7840209141398174
alturas_MIDI,59,3,2.0326315302446583
alturas_MIDI,59,4,3.5754671949099546
alturas_MIDI,59,5,5.029321412207485
alturas_MIDI,59,6,5.727114010794845
alturas_MIDI,59,7,5.865380827367875
alturas_MIDI,60,2,0.7913395137553767
alturas_MIDI,60,3,2.0630579171336914
alturas_MIDI,60,4,3.58415681054937
alturas_MIDI,60,5,4.9854505130989235
alturas_MIDI,60,6,5.7153988471797454
alturas_MIDI,60,7,5.857548655836124
alturas_MIDI,61,2,0.8007217075022619
alturas_MIDI,61,3,2.0616412441645924
alturas_MIDI,61,4,3.5726141604686763
alturas_MIDI,61,5,4.984791056711615
alturas_MIDI,61,6,5.699778629026281
alturas_MIDI,61,7,5.869296913133749
alturas_MIDI,62,2,0.7232836152033513
alturas_MIDI,62,3,1.9146992351685452
alturas_MIDI,62,4,3.37265357522256
alturas_MIDI,62,5,4.848598662024731
alturas_MIDI,62,6,5.612833907660124
alturas_MIDI,62,7,5.811515508209435
alturas_MIDI,63,2,0.7844971492215147
alturas_MIDI,63,3,2.0244073449744255
alturas_MIDI,63,4,3.538985600629922
alturas_MIDI,63,5,4.981801165270989
alturas_MIDI,63,6,5.703166922803593
alturas_MIDI,63,7,5.845800398538499
alturas_MIDI,64,2,0.7756972655201175
alturas_MIDI,64,3,1.990535776392036
alturas_MIDI,64,4,3.4382635242130175
alturas_MIDI,64,5,4.904195695348366
alturas_MIDI,64,6,5.686589526978044
alturas_MIDI,64,7,5.853632570070249
alturas_MIDI,65,2,0.756832570547119
alturas_MIDI,65,3,1.9537494699756288
alturas_MIDI,65,4,3.448634542330419
alturas_MIDI,65,5,4.921568044110603
alturas_MIDI,65,6,5.717829963284971
alturas_MIDI,65,7,5.837968227006747
alturas_MIDI,66,2,0.7929161868557755
alturas_MIDI,66,3,2.033759345479716
alturas_MIDI,66,4,3.5160413394198535
alturas_MIDI,66,5,4.991605620067568
alturas_MIDI,66,6,5.704640861236732
alturas_MIDI,66,7,5.849716484304373
alturas_MIDI,67,2,0.6924913936170499
alturas_MIDI,67,3,1.8809467503831385
alturas_MIDI,67,4,3.3855419645828704
alturas_MIDI,67,5,4.847706848242092
alturas_MIDI,67,6,5.647022220833332
alturas_MIDI,67,7,5.830136055474996
alturas_MIDI,68,2,0.8007217075022619
alturas_MIDI,68,3,2.0547592090772437
alturas_MIDI,68,4,3.5697425234806506
alturas_MIDI,68,5,5.048302363715487
alturas_MIDI,68,6,5.732493003766348
alturas_MIDI,68,7,5.861464741601999
alturas_MIDI,69,2,0.7844019145786811
alturas_MIDI,69,3,1.996185029525115
alturas_MIDI,69,4,3.46315887500835
alturas_MIDI,69,5,4.925279745710465
alturas_MIDI,69,6,5.692925697621636
alturas_MIDI,69,7,5.837968227006747
alturas_MIDI,70,2,0.7457270141637269
alturas_MIDI,70,3,1.9620596357937148
alturas_MIDI,70,4,3.440654953687999
alturas_MIDI,70,5,4.879724114455141
alturas_MIDI,70,6,5.66220202207576
alturas_MIDI,70,7,5.841884312772622
alturas_MIDI,71,2,0.756785357167163
alturas_MIDI,71,3,1.9611304103189067
alturas_MIDI,71,4,3.4759172166695
alturas_MIDI,71,5,4.906118127502767
alturas_MIDI,71,6,5.677305479468172
alturas_MIDI,71,7,5.853632570070249
alturas_MIDI,72,2,0.7653771712331092
alturas_MIDI,72,3,1.961228752838582
alturas_MIDI,72,4,3.4247652199294922
alturas_MIDI,72,5,4.828154949808565
alturas_MIDI,72,6,5.640686050189738
alturas_MIDI,72,7,5.834052141240871
alturas_MIDI,73,2,0.7627213550420369
alturas_MIDI,73,3,1.9535982210444889
alturas_MIDI,73,4,3.4467239628249473
alturas_MIDI,73,5,4.903598592732983
alturas_MIDI,73,6,5.685632349305956
alturas_MIDI,73,7,5.853632570070249
alturas_MIDI,74,2,0.7910048490179448
alturas_MIDI,74,3,2.0217259583373908
alturas_MIDI,74,4,3.5532628315431594
alturas_MIDI,74,5,4.988150714568403
alturas_MIDI,74,6,5.717829963284972
alturas_MIDI,74,7,5.857548655836123
alturas_MIDI,75,2,0.7843066737505413
