label,SBP
271.0000000000,0.8058045042
279.0000000000,0.8005982861
280.0000000000,0.8259300700
281.0000000000,0.8189718103
283.0000000000,0.7833577178
284.0000000000,0.8218954809
285.0000000000,0.8177051401
286.0000000000,0.8111383521
287.0000000000,0.8046247167
288.0000000000,0.8127872257
289.0000000000,0.8127454329
291.0000000000,0.8250113179
292.0000000000,0.8227052979
293.0000000000,0.8311490833
294.0000000000,0.7711399223
295.0000000000,0.8181353673
297.0000000000,0.8127329619
298.0000000000,0.8189175697
301.0000000000,0.7885870008
302.0000000000,0.8401993327
303.0000000000,0.8176917578
305.0000000000,0.7669151724
308.0000000000,0.8223261519
309.0000000000,0.7964851127
310.0000000000,0.7729578769
311.0000000000,0.8155409181
313.0000000000,0.8273541064
314.0000000000,0.8094412279
316.0000000000,0.8103882289
318.0000000000,0.8225776082
319.0000000000,0.7932785030
320.0000000000,0.8027833118
324.0000000000,0.8352343171
325.0000000000,0.8030197136
327.0000000000,0.8123442019
330.0000000000,0.8129262607
333.0000000000,0.8083226724
335.0000000000,0.8152518560
336.0000000000,0.8080753009
337.0000000000,0.8106486282
338.0000000000,0.8092315296
339.0000000000,0.7826007984
340.0000000000,0.8152476004
341.0000000000,0.7935841716
342.0000000000,0.8053107147
343.0000000000,0.8131105696
344.0000000000,0.8084030299
345.0000000000,0.8126307673
346.0000000000,0.8025722411
347.0000000000,0.8269272489
348.0000000000,0.8138625301
349.0000000000,0.7790230404
350.0000000000,0.7917084292
352.0000000000,0.8177910255
353.0000000000,0.7782001810
354.0000000000,0.8218537049
355.0000000000,0.8320429086
356.0000000000,0.8085748803
357.0000000000,0.7741723686
358.0000000000,0.8174595737
359.0000000000,0.8066238513
360.0000000000,0.8058285123
361.0000000000,0.8085985767
362.0000000000,0.8439364567
364.0000000000,0.7966231288
366.0000000000,0.8151177907
367.0000000000,0.8224679762
368.0000000000,0.8157202858
369.0000000000,0.8228036221
370.0000000000,0.8171010564
371.0000000000,0.7690761873
372.0000000000,0.8289390154
373.0000000000,0.8046467127
374.0000000000,0.8157624174
375.0000000000,0.7992568835
376.0000000000,0.8296888450
378.0000000000,0.8315026299
380.0000000000,0.8044636151
381.0000000000,0.8112046480
382.0000000000,0.8172190509
383.0000000000,0.7967831811
385.0000000000,0.7927835353
386.0000000000,0.8240542462
387.0000000000,0.7971732983
388.0000000000,0.7727007049
389.0000000000,0.8302289517
390.0000000000,0.8342755642
391.0000000000,0.8198780855
392.0000000000,0.8285100262
393.0000000000,0.8235753131
394.0000000000,0.8328767793
396.0000000000,0.8218471881
398.0000000000,0.8216547858
401.0000000000,0.8129999597
404.0000000000,0.8131277403
405.0000000000,0.8054835482
406.0000000000,0.8037239556
408.0000000000,0.7784131980
409.0000000000,0.8058063974
410.0000000000,0.8176072581
411.0000000000,0.8115233795
412.0000000000,0.7765679146
413.0000000000,0.8198440937
414.0000000000,0.8139907311
415.0000000000,0.7644097474
416.0000000000,0.8114281554
417.0000000000,0.8051856832
418.0000000000,0.7892209245
420.0000000000,0.7983769929
421.0000000000,0.8084019735
424.0000000000,0.8147102447
425.0000000000,0.8181137397
426.0000000000,0.8182892917
427.0000000000,0.8099699886
429.0000000000,0.8150202336
431.0000000000,0.7713297702
432.0000000000,0.8224686131
434.0000000000,0.8278465638
436.0000000000,0.8163403263
437.0000000000,0.8261009116
438.0000000000,0.8228547920
439.0000000000,0.8113558534
441.0000000000,0.8159668401
442.0000000000,0.7980125154
443.0000000000,0.8197031641
445.0000000000,0.7979125652
446.0000000000,0.7710336423
447.0000000000,0.8534380864
448.0000000000,0.8291529437
449.0000000000,0.8092631301
452.0000000000,0.8099250464
453.0000000000,0.8182496113
454.0000000000,0.8117831621
455.0000000000,0.8191266557
456.0000000000,0.8185006575
458.0000000000,0.7288297617
459.0000000000,0.8267083746
461.0000000000,0.8444983622
462.0000000000,0.8326909064
463.0000000000,0.8244661058
465.0000000000,0.8221231233
466.0000000000,0.8163030480
467.0000000000,0.8336694287
468.0000000000,0.8183680297
470.0000000000,0.8429498336
471.0000000000,0.7943350564
472.0000000000,0.8006280891
473.0000000000,0.8451461322
474.0000000000,0.8179430100
476.0000000000,0.8184868804
477.0000000000,0.8056762428
478.0000000000,0.8205095416
479.0000000000,0.8001937386
480.0000000000,0.8247510924
483.0000000000,0.8124893427
486.0000000000,0.8184560894
487.0000000000,0.7855324460
488.0000000000,0.7930045515
489.0000000000,0.8143275291
490.0000000000,0.7275256643
491.0000000000,0.8027957009
493.0000000000,0.7957002307
494.0000000000,0.8295217309
496.0000000000,0.8254607916
497.0000000000,0.8135827603
500.0000000000,0.8122053794
501.0000000000,0.7566393032
502.0000000000,0.8389480859
503.0000000000,0.8101266626
504.0000000000,0.8001825142
506.0000000000,0.8092601833
507.0000000000,0.7907084300
508.0000000000,0.8076858521
509.0000000000,0.8083931952
510.0000000000,0.8244092021
511.0000000000,0.8330583486
512.0000000000,0.8014605428
513.0000000000,0.8206239184
516.0000000000,0.8196854636
517.0000000000,0.8037829524
519.0000000000,0.8308879655
520.0000000000,0.8244019291
521.0000000000,0.8232643855
522.0000000000,0.7567096990
524.0000000000,0.8060641850
525.0000000000,0.8219651181
526.0000000000,0.8137590495
529.0000000000,0.8266524757
531.0000000000,0.8356273448
532.0000000000,0.8205737688
533.0000000000,0.8173690542
534.0000000000,0.8101736711
536.0000000000,0.8188646760
537.0000000000,0.8050426721
538.0000000000,0.8205185555
539.0000000000,0.8256008881
540.0000000000,0.7995274551
542.0000000000,0.8111564627
543.0000000000,0.8183461710
544.0000000000,0.8021990487
545.0000000000,0.8141576847
546.0000000000,0.8067490868
