piece,measure,obs,iaaft_mu,iaaft_sigma,iaaft_z,shuffle_mu,shuffle_sigma,shuffle_z
8,mPE_m5_tau1,0.9502830280011016,0.9592477892905894,0.004646312702004702,1.929435633038605,0.8894077893255389,0.007450135343640486,-8.17102453414172
8,gamma_rank_max5_mu2,0.188560788575164,0.15777379932014748,0.0018288116319940704,-16.834423357996414,0.00012898934039036914,0.0036444345508579797,-51.7039877120067
8,H_orbit_m3,0.8403070851109732,0.9466147753610709,0.0043998757310957275,24.161521085420116,0.94136772962003,0.004521705436240657,22.350116772108574
8,S_eff_tau1,0.7435364355718024,0.7861565423469341,0.01230763893757899,3.4628986917222195,0.8267564087677888,0.010944117901951291,7.604082297135031
9,mPE_m5_tau1,0.9241028891302174,0.9411848917563088,0.004664764553848573,3.6619217173561767,0.8591991171738187,0.006648659692778228,-9.761933224962197
9,gamma_rank_max5_mu2,0.22057773269555603,0.18026131355915306,0.0016047954950450301,-25.1224652990889,-0.00013571296462768574,0.0030438914952570497,-72.51028691531758
9,H_orbit_m3,0.8612907732385797,0.9542731140904963,0.003368905530344535,27.600162727747183,0.9503639027674375,0.0037841450819209874,23.53850806471739
9,S_eff_tau1,0.6460460503976947,0.7919392711846182,0.00975476422396074,14.956099136518775,0.829326707243473,0.008411125456416063,21.79026549960334
10,mPE_m5_tau1,0.8067390860787517,0.956866042048842,0.003044157921876866,49.31641518700514,0.8667993957755383,0.005235345777295082,11.472080785429553
10,gamma_rank_max5_mu2,0.2996818047348423,0.2545878988664821,0.0019150135709463585,-23.547564650456117,-6.409304589001722e-05,0.0028806829398829474,-104.0537622626779
10,H_orbit_m3,0.8266416185268918,0.9433366586783081,0.003435545788009298,33.96695819299046,0.9466411174546412,0.0029903035583758535,40.12953754866468
10,S_eff_tau1,0.5831573662518447,0.6884236642044281,0.008789798364801297,11.975962767715108,0.8525711406368576,0.006390343037975549,42.159516755827056
11,mPE_m5_tau1,0.791745551860591,0.896488265754392,0.008961612856544636,11.687931131426605,0.8500124993700844,0.009985110004822098,5.8353836343670284
11,gamma_rank_max5_mu2,0.19408520843195542,0.11666785569817341,0.0029938406293815428,-25.85887571102094,-0.00028665048046196834,0.004886931455307133,-39.77380503287652
11,H_orbit_m3,0.8494294019759143,0.9513066363042962,0.0058899016064275665,17.296933146931476,0.951399287487629,0.005501009628728259,18.53657644574755
11,S_eff_tau1,0.7490033960518633,0.8205565115305639,0.012603085933219686,5.677428199556919,0.8125044163555037,0.013425418529930578,4.729909921398095
12,mPE_m5_tau1,0.951030449901722,0.927287473029611,0.003434364541437353,-6.9133537181740445,0.834147991166947,0.003899027911035914,-29.977333171672793
12,gamma_rank_max5_mu2,0.1949248330587291,0.17056069799899337,0.0007932840011610013,-30.713004452475893,-4.601905438763968e-06,0.00173229872303147,-112.52645538123315
12,H_orbit_m3,0.8423185996627844,0.9600732709729122,0.0019013922007784622,61.93076381712146,0.9556093076096329,0.002163276093864061,52.369971760972824
12,S_eff_tau1,0.6039483386505181,0.6736462733663048,0.007571789808689557,9.20494843052824,0.8376695235853692,0.005165584100087767,45.24583869051323
13,mPE_m5_tau1,0.8662482027875659,0.9599265514685794,0.01123936504350272,8.334843500360135,0.8677465327359357,0.009503423942383727,0.15766211814328723
13,gamma_rank_max5_mu2,0.20634210751722504,0.18432917504328608,0.005503821290247325,-3.9995725357117764,-0.00022129226321635423,0.005120878418254738,-40.33749347457479
13,H_orbit_m3,0.8189812661470389,0.9541507159387328,0.0062749724629723195,21.54104270406105,0.9539140247129168,0.005092450281212713,26.496627579002112
13,S_eff_tau1,0.8149998077165763,0.8453191500558709,0.02591575210300262,1.1699194458563191,0.8401120813923172,0.012592761653213358,1.994183195656121
14,mPE_m5_tau1,0.865962788323063,0.9027352186069417,0.00634696523855582,5.793702801536996,0.8448312184978048,0.0075101582377223785,-2.8137316360549436
14,gamma_rank_max5_mu2,0.18987734722917593,0.12373632610948798,0.002777436601376507,-23.81369248425265,-2.095164176432e-06,0.003975151272419698,-47.766595377330546
14,H_orbit_m3,0.8862550234118599,0.9583915013637859,0.0036506599846523003,19.759845686860512,0.9563079538964212,0.003973010302755138,17.632204587031183
14,S_eff_tau1,0.7640862057576254,0.8230608771634201,0.009507787855651772,6.20277527235087,0.8341663962270649,0.009402870127173947,7.453063747728506
15,mPE_m5_tau1,0.9147103947112397,0.8955125500284813,0.0036300130549446925,-5.288643426945176,0.8455518874895868,0.0038595978760542996,-17.918578422567247
15,gamma_rank_max5_mu2,0.1773634816649331,0.14279057381784205,0.0007317017512820286,-47.2500001353218,-6.683130552920931e-05,0.0017944108047452064,-98.87942744284587
15,H_orbit_m3,0.9213500739413296,0.9596578628548488,0.0021069285459059737,18.181816838523545,0.9584436311803771,0.002153502138911492,17.224759877785306
15,S_eff_tau1,0.6842726450424625,0.762635249132191,0.005957643445197164,13.153288680426417,0.8260272614585531,0.005491492111680673,25.81349723048341
16,mPE_m5_tau1,0.9349334307153239,0.9313093881159751,0.007194697401821041,-0.5037102183660302,0.8411315013363982,0.009074529032615576,-10.336837211251813
16,gamma_rank_max5_mu2,0.2608812639649636,0.2288769373387119,0.002231290305381214,-14.34341669887898,-0.0002835847988480705,0.004260940735018519,-61.292767256167096
16,H_orbit_m3,0.8676020895624741,0.9600385625122336,0.004527685592203017,20.41583300504378,0.9555352720708106,0.004817201286928529,18.25399796909942
16,S_eff_tau1,0.6094930696978141,0.6928407156793861,0.013641796678933275,6.109726449030272,0.8292759143190199,0.011632573664342031,18.89374191499154
